node	GIN	LBR	SLE
root	0.9932687017626559	0.002071925260009008	0.004659372977335095
n0	0.9994689495189908	0.00016345986693970437	0.00036759061406949956
n3232	0.999873568718005	3.891468845019265e-05	8.751659354479736e-05
n00	0.9993767941286151	0.00019182575098566047	0.00043138012039920865
n2	0.9999581325722682	1.2886995473423882e-05	2.8980432258434105e-05
n3333	0.9999975435301811	7.514521219487611e-07	1.7050176969462747e-06
n780	0.9999922395183538	2.3887154734836874e-06	5.371766172688322e-06
n1	0.9999872837451825	3.91412437760094e-06	8.802130439881574e-06
149	1.0	0.0	0.0
n22	0.9999934763846042	2.008000111191566e-06	4.5156152846189545e-06
n32	0.9999948273100558	1.5921788412958013e-06	3.5805111029204856e-06
n34	0.9999902166358828	2.8535891581665224e-06	6.92977495907728e-06
n775	0.9999843252847335	4.824066687209664e-06	1.0850648579296467e-05
n780780	0.9999970876158647	8.967124959199691e-07	2.0156716393809448e-06
n783783	0.999996213813047	1.1654066401855047e-06	2.6207803128121328e-06
n11	0.999999058749609	2.897213968882211e-07	6.51528993966497e-07
482	1.0	0.0	0.0
n3	0.9999887844326412	3.452204264853893e-06	7.763363094009855e-06
492	1.0	0.0	0.0
508	1.0	0.0	0.0
509	1.0	0.0	0.0
n3434	0.9999748171592878	7.743918376818558e-06	1.743892233529068e-05
n43	0.9998511194862608	5.962902437791509e-06	0.0001429176113013453
n775775	0.9999904841468146	2.929022899894525e-06	6.586830285601677e-06
n777	0.9999967043893646	1.0144028747783596e-06	2.281207760573506e-06
388	1.0	0.0	0.0
n781	0.9999991558435205	2.688066116458326e-07	5.753498678488045e-07
n784	0.9999969332397198	9.439635633076115e-07	2.1227967167506027e-06
n785	0.9999964496321404	1.092820303225118e-06	2.457547556284773e-06
472	1.0	0.0	0.0
461	1.0	0.0	0.0
n33	0.999995171131171	1.4861928023726496e-06	3.34267602661549e-06
n3030	0.9999958699384576	1.2712527998388578e-06	2.858808742642969e-06
n35	0.9999778023921284	6.832218713088194e-06	1.5365389158587255e-05
n36	0.9999951090019119	1.505459216268126e-06	3.385538871844194e-06
n4343	0.9999945950287474	8.073441520239618e-07	4.5976271004255065e-06
n4444	0.994201826774674	0.00010372773976720429	0.0056944454855589015
n776	0.9999983581567753	5.053672055548259e-07	1.1364760191547972e-06
393	1.0	0.0	0.0
n777777	0.9999986259625024	4.22935327125335e-07	9.511021704400167e-07
n779779	0.9999915327553629	2.6062584227512078e-06	5.860986214384724e-06
n781781	0.9999983224322989	5.165346336086188e-07	1.1610330674712976e-06
n782	0.9999970767311257	1.797688687359728e-06	1.1255801869726926e-06
n784784	0.9999991925043358	2.485510488724522e-07	5.589446152771228e-07
397	1.0	0.0	0.0
n785785	0.9999928963759563	2.1865296437930784e-06	4.917094399743611e-06
n787787	0.9999967966946378	9.859927959813827e-07	2.2173125662579135e-06
n4	0.9999984718300156	4.7037676539270186e-07	1.0577932191417663e-06
n44	0.9999991999416507	2.426548707261139e-07	5.574034786319537e-07
n31	0.9999979005989238	6.462057477283858e-07	1.4531953284326027e-06
n3131	0.9999964855681979	1.081759010222122e-06	2.4326727919317008e-06
391	1.0	0.0	0.0
n3535	0.9999978689479722	6.559473769251621e-07	1.4751046509490039e-06
n3636	0.9999972289334333	8.529473212314821e-07	1.9181192454024674e-06
n4242	0.99999587764652	1.2688795294403477e-06	2.853473950565444e-06
443	1.0	0.0	0.0
387	1.0	0.0	0.0
n45	0.2028293819967716	0.009018851586844063	0.7881517664163843
377	1.0	0.0	0.0
n776776	0.9999987229291579	3.9308854633369324e-07	8.839822957473724e-07
395	1.0	0.0	0.0
n778	0.9999930841896149	2.128719694381301e-06	4.787090690735709e-06
n778778	0.9999948794121181	1.5761415756312388e-06	3.5444463063043884e-06
381	1.0	0.0	0.0
386	1.0	0.0	0.0
378	1.0	0.0	0.0
375	1.0	0.0	0.0
n782782	0.9998896388835445	0.00010805631353688945	2.3048029186621715e-06
390	1.0	0.0	0.0
396	1.0	0.0	0.0
392	1.0	0.0	0.0
n786	0.9999957214713654	1.3169516902160198e-06	2.9615769443709364e-06
399	1.0	0.0	0.0
n788	0.9999980132231535	6.115394682597579e-07	1.3752373782782178e-06
n790	0.999998252280627	5.379564282154137e-07	1.2097629447733435e-06
476	1.0	0.0	0.0
473	1.0	0.0	0.0
n5	0.9999980078254886	2.489144076507246e-07	1.7432601036798468e-06
n10	0.9999991373671026	2.6547979529570525e-07	5.971531022065567e-07
463	1.0	0.0	0.0
467	1.0	0.0	0.0
505	1.0	0.0	0.0
449	1.0	0.0	0.0
379	1.0	0.0	0.0
380	1.0	0.0	0.0
412	1.0	0.0	0.0
n37	0.9999967546591145	9.989315262328994e-07	2.246409359191618e-06
408	1.0	0.0	0.0
413	1.0	0.0	0.0
n4545	0.04850692291779654	0.005165130904941976	0.9463279461772616
n53	0.20079874353982768	0.015079044137997134	0.7841222123221752
394	1.0	0.0	0.0
441	1.0	0.0	0.0
385	1.0	0.0	0.0
382	1.0	0.0	0.0
384	1.0	0.0	0.0
n779	0.9999973159181009	8.261733169568724e-07	1.85790858218762e-06
376	1.0	0.0	0.0
n783	0.9927354205223312	0.007203314954252321	6.126452341642517e-05
398	1.0	0.0	0.0
n786786	0.9999989273667179	3.301616827832989e-07	7.424715993083362e-07
n788788	0.9999988312851245	3.597360593019644e-07	8.08978816158133e-07
402	1.0	0.0	0.0
406	1.0	0.0	0.0
n790790	0.9999983825708882	4.978524591771304e-07	1.1195766524713641e-06
n55	0.9998318338527296	3.778303286474312e-06	0.00016438784398407108
n9	0.999999062952079	2.8381674659590246e-07	6.532311744268168e-07
n1010	0.9999988747101743	3.463689618206372e-07	7.789208638228722e-07
n30	0.9999986396763686	4.1871376922105314e-07	9.416098622362487e-07
n3737	0.9999985342141208	4.511759429487152e-07	1.0146099363619152e-06
411	1.0	0.0	0.0
n46	0.05059931879133753	0.010616512058164098	0.9387841691504984
n47	0.001051923478125889	0.00010769566618868234	0.9988403808556855
426	0.0	1.0	0.0
n5353	0.20460372905248533	0.005210537264757822	0.7901857336827569
383	1.0	0.0	0.0
442	1.0	0.0	0.0
374	1.0	0.0	0.0
389	0.0	1.0	0.0
n787	0.9999981520736618	5.68800613994918e-07	1.27912572410035e-06
400	1.0	0.0	0.0
n789	0.9999986977386174	4.008423164421776e-07	9.014190661083623e-07
n789789	0.9999991631399696	2.575895420079407e-07	5.79270488348187e-07
n791	0.9999993339724902	2.050064705966477e-07	4.610210391747872e-07
421	1.0	0.0	0.0
n6	0.9999950134913524	7.910456136362096e-07	4.195463033941288e-06
n66	0.9638319992164455	0.0003593092125764067	0.035808691570978136
n99	0.9999982496472606	5.386576087697416e-07	1.2116951306381327e-06
469	1.0	0.0	0.0
n1111	0.9999912670216834	2.688052653859679e-06	6.0449256628369715e-06
477	1.0	0.0	0.0
480	1.0	0.0	0.0
481	1.0	0.0	0.0
n38	0.9999992663636535	2.2581679566804714e-07	5.078195507643432e-07
n4141	0.9999991908088227	2.4907293595745264e-07	5.601182412992695e-07
431	0.0	0.0	1.0
n4646	0.23255642971781135	0.2244702663575605	0.5429733039246281
n4747	0.0007196076658441639	4.028095574508599e-06	0.9992763642385813
n51	3.540690714384998e-05	0.0001106892257100195	0.9998539038671462
n54	0.4874056423405515	0.0012165786185239387	0.5113777790409245
921	0.0	0.0	1.0
401	1.0	0.0	0.0
430	1.0	0.0	0.0
410	1.0	0.0	0.0
409	1.0	0.0	0.0
403	1.0	0.0	0.0
407	1.0	0.0	0.0
405	1.0	0.0	0.0
404	1.0	0.0	0.0
507	1.0	0.0	0.0
498	1.0	0.0	0.0
145	1.0	0.0	0.0
n7	0.06403968689029525	6.774946810646191e-05	0.9358925636415983
478	1.0	0.0	0.0
490	1.0	0.0	0.0
n12	0.9999422219826056	1.7784351592028753e-05	3.999366580231496e-05
n1616	0.9999924800539663	2.3146755543302472e-06	5.205270479365685e-06
419	1.0	0.0	0.0
n3838	0.9999993823552992	1.901140093032708e-07	4.275306914732754e-07
n42	0.9999990636979446	2.8819827555177954e-07	6.481037798298542e-07
416	1.0	0.0	0.0
434	0.0	1.0	0.0
437	1.0	0.0	0.0
n48	8.840428360821954e-06	3.5318402020188497e-07	0.999990806387619
n49	0.010678366236765654	2.9631732296685528e-05	0.9892920020309377
n5151	5.226463983443475e-05	3.37443769721987e-06	0.9999443609224684
n5252	0.00012834982856011997	0.007155562753153213	0.9927160874182865
414	1.0	0.0	0.0
n5454	0.48879861073305364	0.0013995116565046176	0.5098018776104418
n77	0.06467123050350135	9.652369595582018e-05	0.9352322458005429
n8	0.002722555245192464	1.0730897807038594e-05	0.9972667138570005
n1212	0.9999607278219992	1.20881652575992e-05	2.718401274325431e-05
144	1.0	0.0	0.0
n17	0.9999988175082419	3.639766500076967e-07	8.185151080086318e-07
231	1.0	0.0	0.0
n39	0.9999978406314352	6.646640292032787e-07	1.4947045356840917e-06
n40	0.9999980466911607	6.012378547057402e-07	1.3520709846911174e-06
425	1.0	0.0	0.0
418	1.0	0.0	0.0
n4848	7.210924013549474e-07	2.0354339529349574e-07	0.9999990753642033
424	0.0	0.0	1.0
n4949	0.9432026473482855	0.00015218779672215776	0.056645164854992235
920	0.0	0.0	1.0
914	0.0	0.0	1.0
