	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
14	BEAST2	0.2594394772800143	0.2421559643388068	0.115316386973868		2.09992673802451	8.67179441050829	3.85446351682514	0.5766340739334366	-0.17452370914955084	-0.06552852381124845		-0.11663832242674793	0.07012362119227704	-0.365737417113428
15	PhyloDeep	0.1763734435248216	1.1137206405157178	0.3490357460622928		3.1908498	2.86503606373179	5.66978780940605	0.26879340125238677	-0.03378877464544219	0.16643061063170234		-0.17165134681154495	-0.14268367883587066	-0.21184962105498753
15	PyBDEI	0.1505843319904921	1.1484801998226877	0.332191094046939		3.457287749142383	3.010315501892109	6.640797131956196	0.0832719651167128	-0.003633028968303721	0.11013804473319092		-0.10248371744510255	-0.09921112536924312	-0.07687078388273572
15	BEAST2	0.1478896640568819	1.158467975939127	0.330969387873618		3.5002269647412	3.02142746924333	6.76179776576797	0.06388709160966544	0.005031892062129148	0.1060552666973133		-0.09133664264068875	-0.09588604646673317	-0.060050631418982967
16	PhyloDeep	0.1643980424434391	1.9121801252378103	0.5952694128699227		3.2122936	1.67991161376625	6.08279749039012	0.2139119720883394	-0.14250376190852396	0.06641959257447909		-0.19591102408258856	-0.06228279472447917	-0.1762170379787412
16	BEAST2	0.1901298815210731	1.5793963804238356	0.501720334670946		3.1479616656552	1.99314225654388	5.25956252641521	0.40391537514550924	-0.2917369881666872	-0.1011727071502689		-0.21201434639599623	0.11256078665513264	-0.28770635488171464
16	PyBDEI	0.1921164014709747	1.546611511222725	0.4910703301378001		3.149470485803383	2.036368191332977	5.205177654501724	0.4185838001105299	-0.3064390037536221	-0.12025209078665877		-0.21163666434109438	0.1366892601020064	-0.29507160597626736
17	BEAST2	0.051010865774414	0.1683648715628363	0.108472247348475		1.5521469839373	9.21894792856487	19.6036664898477	0.11156989793629066	-0.05436105440157904	0.020514296264411584		-0.07337021239199855	-0.020101919531656222	-0.10037146394790794
17	PyBDEI	0.0514633034369125	0.1682604537450849	0.1068955259942409		1.574064509997828	9.354928475246714	19.43132160619796	0.12142889716500488	-0.054947528017860015	0.005680394298205962		-0.060285477036045754	-0.005648309672150439	-0.1082805137909145
17	PhyloDeep	0.0514073974476944	0.1688657580969617	0.1051303217901414		1.6062517	9.51200360630661	19.4524533364575	0.12021065838811357	-0.05154777269026906	-0.010926767166075395		-0.04106976528705084	0.011047480412311657	-0.10731076113941534
18	PyBDEI	0.109663453757695	1.2579963513832566	0.4022845100562459		3.127130973070199	2.485802895717222	9.118808187543795	-0.04154387685910166	0.07041700808536763	0.1467561194870891		-0.06656961328086568	-0.1279750044436031	0.04334457869908559
18	PhyloDeep	0.1091893137905182	1.2508356749583065	0.4028849693014487		3.1046968	2.48209805824693	9.15840539046265	-0.04568784952451241	0.06432405731787581	0.1484677944254123		-0.07326608331201376	-0.12927466938652132	0.04787516275649229
