cores	s	iterations	total
1	0.01338775134625296	93.14	1.2428699931502343
2	0.0067675811452169886	93.14	0.6110499997437
3	0.005695091192133106	93.14	0.5213600015640258
4	0.0054116452399933365	93.14	0.5009400001168252
5	0.005795595059038546	93.14	0.5275499970465899
6	0.0063678086156796	93.14	0.5826699975132942
7	0.007333599015037348	93.14	0.6757600003480911
