	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
7	BEAST2			1	0	0.046607677606396544			0.6066955646634205			0.18796263724464007				3.2277455432474302	2.575996174515491	4.174074075731029	5.320206263644111	4.263246410623023	6.693619648421078	21.455692524417	16.349519135830935	29.266498060531998
7	real	94.580591		1.0	0.0	0.050938770042800896			0.6308707935278659			0.2150041801769944			0.315735053639742	2.9342257113723296			4.65107236136891			19.6314123635054		
8	BEAST2			1	0	0.06466089883734552			0.3748785271709515			0.185343273901185				2.02261738060598	1.6850145122201599	2.4622347489554173	5.395394065031709	4.631253083136103	6.314823873914597	15.465296925666001	13.079834880157184	18.62637598166477
8	real	126.1754581		1.0	0.0	0.05450624562902902			0.41895452599801575			0.21185512479887966			0.969111940083884	1.9775520011410708			4.720206796740601			18.3465213657537		
8	PhyloDeep			1	0	0.06821886883888857			0.35279910813766374			0.17791681981235058				1.9829441000000003	1.6443576325	2.40062722031	5.6206040612388595	4.75401866922	6.61485147042	14.6587009872838	11.8156170158	18.7443816083
8	PyBDEI					0.06478064808877022	0.05030565861765455	0.08162540335788862	0.3756967339473952	0.3081126284681982	0.4564314596642604	0.1876964915868035	0.15059096313649903	0.23026241542180245		2.0016183082124783			5.32775009029688			15.436708793491535		
9	real	726.0702309999998		1.0	0.0	0.04017473589310208			0.1952277932119866			0.16539045395073124			0.488340826384015	1.18040544994298			6.04629817569697			24.891265064214096		
9	PhyloDeep			1	0	0.0402098160436962			0.15428961319353343			0.14295801735619143				1.0792652	1.0	1.28650450395	6.99506063733676	5.41246450091	8.788128626679999	24.8695492392528	17.3258513949	34.0557627712
9	BEAST2			1	0	0.039049658120493776			0.179356497910516			0.15863604479116797				1.13061629938281	1.0167997820303212	1.2887846824530629	6.30373759832718	5.0947112513164345	7.781983503603009	25.608418821858695	22.29258487575465	29.563101154585176
9	PyBDEI					0.03888774112454938	0.03155307713722148	0.04738288870706639	0.1804783135839844	0.14357672648544673	0.21654693999796867	0.16028891400437512	0.11852663977761493	0.20616526808408903		1.1259563064920273			6.238734638708108			25.715044666575185		
10	PyBDEI					0.09072822441272692	0.07102904431523706	0.12954439042913946	0.21041083305862265	0.1716810572895072	0.26784487848500105	0.09472330296919257	0.07487719455976344	0.12240859857122828		2.2213206936740346			10.55706429837266			11.021928473447835		
10	BEAST2			1	0	0.0853004045026101			0.22641930648813763			0.10504232618181505				2.1555054492627503	1.9375704039216384	2.4299652082801275	9.51997196129421	8.295791501835675	9.980780503203887	11.723273832416599	9.52742380103266	14.505508170184633
10	PhyloDeep			1	0	0.08364696727871063			0.22914140492328902			0.10034819257139287				2.2834632000000004	2.00453895478	2.6556680089	9.96530156025031	7.935643865089999	10.0	11.955006051421002	8.267371755660001	16.132145793499998
10	real	165.941217		1.0	0.0	0.08182652247933321			0.23762181731822946			0.10479807680327913			0.097229373886524	2.2674253628172907			9.542159842085098			12.220976398606801		
11	real	41.7766849		1.0	0.0	0.17693830377963493			0.5313673599444806			0.11629346656877736			0.9794623100045532	4.569193572282271			8.59893534439089			5.65168750145494		
11	PhyloDeep			1	0	0.17463446045680528			0.5746480845953243			0.141431584945812				4.063081700000001	3.18878016881	4.67407983158	7.07055641342872	5.94451940516	8.56463399477	5.72624668341071	4.7264550091	7.06109787221
11	PyBDEI					0.1829106461923905	0.1388349872311019	0.23538198394266666	0.5357228493682379	0.45115740325084325	0.6610632141867455	0.13796014818406294	0.10598607899414414	0.17607023011870115		3.8831710201810594			7.248470034011742			5.467150331688032		
11	BEAST2			1	0	0.18667888873809815			0.5322448825693955			0.13592230441161493				3.91580237602206	3.1735849678217094	4.777262183538535	7.3571442474348405	6.184636106091367	8.763768729755606	5.356792119128981	4.239499278070364	6.844108116949696
12	PhyloDeep			1	0	1.135752199332012			1.2078845589456169			0.5529269195793549				2.1845284	1.82271350371	2.63424519392	1.80855726966732	1.50586966486	2.21279245831	0.880473751746328	0.58682398014	1.2335642589700002
12	real	14.16820073		1.0	0.0	1.0078753755368204			1.251481111615416			0.5541087076859079			0.859900914773923	2.258547996550901			1.8047000275022604			0.992186161376722		
12	PyBDEI					1.09940814513318	0.8052306316457785	1.4131293760655357	1.2162428580569773	1.0339597089148231	1.4654893581304078	0.5594563276574276	0.43585058927911696	0.7012386288209446		2.1739728338575883			1.7874496195033314			0.9095803086658614		
12	BEAST2			1	0	1.1473888139977602			1.1846260706979659			0.5418291171772969				2.18634627254691	1.851881217741875	2.6016370637651747	1.8456003346767	1.5491609403183826	2.2618235436887493	0.871544142491485	0.6157635442814575	1.1075156027677548
13	real	147.63531399999997		1.0	0.0	0.05541189898330598			0.3459652947103291			0.10551883235594836			0.82375001633051	3.2787066250248			9.476981290189832			18.046665397648102		
13	PyBDEI					0.059991605640363786	0.04390542872676404	0.07780340505985057	0.3236165002243996	0.2706133430185772	0.4210076829793904	0.11005068554812827	0.08328462780417095	0.14317450716629268		2.9406132148342947			9.086722131891417			16.668998759506046		
13	BEAST2			1	0	0.060534323181505624			0.3202475854061949			0.11115948349296098				2.88097403247177	2.3153775834781958	3.575140637599381	8.996083542105731	7.552759420390125	9.931923781335296	16.5195536588657	13.06191340904228	21.659495270870067
13	PhyloDeep			1	0	0.05711459453114492			0.34039206845558817			0.11380665672638027				2.990968	2.28848371273	3.97558436782	8.78683223604618	7.20488431697	10.0	17.508659707891198	13.2243426378	23.063251829899997
14	PhyloDeep			1	0	0.1995797490262211			0.34932419907508544			0.1627256067432982				2.146707	1.78814345344	2.73643507093	6.145314311702111	4.430937188130001	8.53790173477	5.01052839719033	2.22849521454	10.352601305599999
14	PyBDEI					0.2298039782851717	0.14709977843510116	0.42557925760055015	0.2606007732705984	0.19875080796555045	0.3119970765868549	0.1195317420988251	0.07341860920413017	0.16884623223175885		2.1801805001314367			8.365978629954471			4.351534762200965		
14	BEAST2			1	0	0.2594394772800143			0.24215596433880687			0.11531638697386805				2.0999267380245104	1.783849291342495	2.5749256590266936	8.67179441050829	5.9783198973154565	9.943302999327	3.85446351682514	1.3753398130063443	6.971964265382053
