	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
4	PyBDEI (psi)	0.039302234803432784	0.2816015594742331	0.14255609998616636	0.7543584978470219	1.9753736213431743	7.014782251317482	25.443845750793205	-0.1597083830238408	0.07360962350587469	0.0	0.09941326273414985	0.07360962350587466	0.0	0.1900630445398959
5	PyBDEI (lambda)	0.724441682504362	0.2873148575232717	0.20830895526521687	0.43441946315640817	1.3792727113314225	4.800561736420836	1.3803733608246358	-0.2159744129283873	0.0	0.011957588127874024	0.007269890092508169	-0.011816293753966409	-0.011816293753966107	0.27546857716093964
5	PyBDEI (psi)	0.7299157980458699	0.2845588751421165	0.20584751545822128	0.4397969461755888	1.3823770207217805	4.8579648764473875	1.3700210389707954	-0.210050062142425	-0.009592202801179476	0.0	0.012647373111688787	-0.009592202801179324	-1.8282932097888012e-16	0.26590300483104345
5	PyBDEI (p)	0.7249879015713365	0.2900410489080379	0.21087922952139584	0.4271495730639	1.3753893617987174	4.742050709638712	1.37933336243626	-0.2153832684166939	0.009488515172054388	0.024443890187228437	0.0	-0.014598530147357371	-0.023860643243975833	0.2745076159439839
5	PyBDEI (mu)	0.9240026020199156	0.28314210365371045	0.20847087768099407	0.38984795913270776	1.3581854060545553	4.7968330690784455	1.0822480345985501	0.0	-0.014523279114527688	0.012744201536429167	-0.037301613931192246	-0.026924351291856042	-0.012583830662367472	2.0516979271521314e-16
6	PyBDEI (p)	0.5182718918066028	0.5942953019099325	0.10874220506253528	0.032288791520142	5.465176116009108	9.196061450334962	1.9294891654536368	0.04157756785464578	-0.033266885296838314	-0.19049851465299852	0.0	0.19423266319117516	0.2353281841988706	-0.03991787951067739
6	PyBDEI (psi)	0.5194190181980879	0.6286721107247322	0.13433231072568294	0.026528637377553427	4.679976897058888	7.444225403388451	1.9252279276740607	0.0438829622542918	0.02265346162881007	0.0	-0.005760154142588576	0.02265346162880994	-2.386221189100065e-16	-0.04203820144695672
6	PyBDEI (lambda)	0.2455858309740443	0.6147459861167709	0.009910071659304884	0.5131517766247776	62.03244610643821	100.90744389936556	4.071896151474997	-0.5064430532131584	0.0	-0.9262271928044027	0.4808629851046356	12.555130108423992	12.555130108423992	1.0261086517173106
6	PyBDEI (mu)	0.4975835768756962	0.4387807179518863	0.00761560839999325	0.5497928253045267	57.61597693918654	131.3092726775298	2.00971263215509	0.0	-0.2862406134221754	-0.9433076944865117	0.5175040337843847	11.59005750626965	16.63907801848136	0.0
7	PyBDEI (mu)	0.050938770042800896	0.6185552588682696	0.2057142440616213	0.27971942300281544	3.0068664505457514	4.8611120953804825	19.6314123635054	0.0	-0.019521484883976255	-0.043208165105094676	-0.03601563063692653	0.024756356980952212	0.04515942081575212	0.0
7	PyBDEI (p)	0.04720592495021278	0.6027595745074922	0.1887776239433995	0.31573505363974197	3.192960913038165	5.297237983564336	21.18378150739937	-0.0732810213016848	-0.0445593920478933	-0.12198161083196077	0.0	0.08817835678524728	0.138928309858685	0.07907577484235459
7	PyBDEI (psi)	0.05130982831783884	0.6354813332186503	0.2150041801769944	0.2695998338833622	2.955669665099132	4.65107236136891	19.48944350009316	0.007284398008160887	0.007308215466755078	0.0	-0.04613521975637974	0.007308215466755365	0.0	-0.007231719286593983
7	PyBDEI (lambda)	0.04962369077179995	0.6308707935278659	0.2064784929145644	0.28089546134598525	3.0553825951689046	4.843119425584799	20.15166515119988	-0.025816863459717673	0.0	-0.03965358838796313	-0.034839592293756716	0.04129092159713587	0.04129092159713584	0.02650103711649512
8	PyBDEI (mu)	0.05450624562902902	0.4218700401283504	0.1971559424332504	0.9354439642974152	2.1397784663334702	5.072127107396535	18.3465213657537	0.0	0.006959022875786878	-0.06938318050877279	-0.03366797578646885	0.08203398196294859	0.07455612133327331	0.0
8	PyBDEI (psi)	0.0687501284705283	0.4070314723823614	0.21185512479887966	0.846262619230891	1.921272722426556	4.7202067967406	14.54542736496381	0.26132570088285917	-0.028459063873941277	0.0	-0.12284932085299305	-0.028459063873941603	-3.7633029989848345e-16	-0.20718336326608225
8	PyBDEI (p)	0.0653119080922822	0.3734829873470628	0.18604700983971545	0.969111940083884	2.00746568122126	5.374985606388013	15.311143545018682	0.1982463172531972	-0.1085357379601821	-0.1218196396413097	0.0	0.015126621228128924	0.13871824643351424	-0.1654470490738896
8	PyBDEI (lambda)	0.06858042603425832	0.41895452599801575	0.21652633303262173	0.8285099438060672	1.9348894895610518	4.6183759083443245	14.581420061468634	0.25821225151001137	0.0	0.022049068853899945	-0.14060199627781678	-0.021573395569574008	-0.021573395569574064	-0.20522153650953923
9	PyBDEI (lambda)	0.04318859729689176	0.1952277932119866	0.176194611577047	0.3890509225566313	1.1080236306013065	5.6755424643773305	23.15425974883349	0.07501882306853337	0.0	0.06532515854593547	-0.09928990382738367	-0.06131945539998131	-0.06131945539998145	-0.06978372979033037
9	PyBDEI (mu)	0.04017473589310208	0.2033339695385315	0.1806809772845767	0.4057278740533952	1.1253756349694513	5.534616953200209	24.891265064214096	0.0	0.041521630671422206	0.0924510633388817	-0.08261295233061977	-0.04661941790948771	-0.0846271896668044	0.0
9	PyBDEI (p)	0.03913311733727527	0.17848702684489515	0.1581494609774115	0.488340826384015	1.1285971241494683	6.323132521727848	25.55380373562714	-0.025927203568889	-0.08574991343017244	-0.04378120260481767	0.0	-0.043890280069457666	0.04578575815920068	0.026617316142985854
9	PyBDEI (psi)	0.04221341800791458	0.1878902797645602	0.16539045395073124	0.4101061686104357	1.1360406557716538	6.04629817569697	23.68915020841265	0.05074537690147049	-0.03758436914491492	0.0	-0.0782346577735793	-0.03758436914491471	0.0	-0.048294646844997645
10	PyBDEI (mu)	0.08182652247933321	0.2014419385542573	0.08386017366486177	0.11642226554205885	2.4021168780224387	11.924611604030217	12.220976398606801	0.0	-0.15225823610093472	-0.19979281850487363	0.01919289165553484	0.059402844042369236	0.2496763627284322	0.0
10	PyBDEI (lambda)	0.10774863875343492	0.23762181731822946	0.12103073825369927	0.06693484831114484	1.9633179202801945	8.262363879032485	9.280859708012981	0.3167935711877382	0.0	0.15489465022236193	-0.030294525575379178	-0.1341201556285146	-0.1341201556285144	-0.240579524474738
10	PyBDEI (psi)	0.10006986671495156	0.21894198062217216	0.10479807680327913	0.08152973995769157	2.0891793752394654	9.542159842085098	9.993018206454641	0.2229514793351513	-0.0786116229009425	0.0	-0.015699633928832446	-0.07861162290094237	0.0	-0.1823060710931533
