	type	loglk	diff with max	diff with real
37	BEAST2	-2278.0390108407214	0.005913920407238038	0.25442708586660956
37	PhyloDeep	-2278.3217387088735	0.2886417885592891	-0.028300782285441528
37	real	-2278.293437926588	0.2603410062738476	0.0
38	PyBDEI	-1315.3992583049665	0.0	0.4544656118594048
38	BEAST2	-1315.4041726091978	0.004914304231306232	0.4495513076280986
38	PhyloDeep	-1316.9056899642717	1.5064316593052354	-1.0519660474458306
38	real	-1315.8537239168259	0.4544656118594048	0.0
39	PyBDEI	-3822.918122143687	0.0	0.7786241360322492
39	BEAST2	-3822.920382506567	0.002260362879951572	0.7763637731522977
39	PhyloDeep	-3822.960770640683	0.04264849699620754	0.7359756390360417
39	real	-3823.6967462797193	0.7786241360322492	0.0
40	PyBDEI	-1499.5611208379091	0.0	0.9253744675454527
40	BEAST2	-1499.5675086309059	0.006387792996747521	0.9189866745487052
40	PhyloDeep	-1500.1199683196642	0.5588474817550377	0.366526985790415
40	real	-1500.4864953054546	0.9253744675454527	0.0
41	PyBDEI	-1588.054816515697	0.0	2.7400238433401682
41	BEAST2	-1588.3152622499333	0.26044573423632755	2.4795781091038407
41	PhyloDeep	-1589.5511894901929	1.4963729744958982	1.24365086884427
41	real	-1590.7948403590372	2.7400238433401682	0.0
42	PyBDEI	-1428.1019731311835	0.0	0.7464466699636887
42	BEAST2	-1428.1041727642805	0.002199633097006881	0.7442470368666818
42	PhyloDeep	-1428.9250646599553	0.8230915287717835	-0.0766448588080948
42	real	-1428.8484198011472	0.7464466699636887	0.0
43	PyBDEI	-3152.168161026252	0.0	3.8248773439077013
43	BEAST2	-3152.6444672990806	0.47630627282842397	3.3485710710792773
43	PhyloDeep	-3155.7306877236324	3.5625266973802354	0.26235064652746587
43	real	-3155.99303837016	3.8248773439077013	0.0
44	PyBDEI	-847.6476917646324	0.0	3.393011267210909
44	BEAST2	-847.6555409148299	0.007849150197444033	3.385162117013465
44	PhyloDeep	-847.8392815416963	0.19158977706388214	3.201421490147027
44	real	-851.0407030318433	3.393011267210909	0.0
45	PyBDEI	-2465.42825196604	0.0	0.44774521421959435
45	BEAST2	-2465.5967897924056	0.1685378263655366	0.27920738785405774
45	PhyloDeep	-2470.4811345585777	5.052882592537571	-4.605137378317977
45	real	-2465.8759971802597	0.44774521421959435	0.0
46	PyBDEI	-1679.1162440086553	0.0	0.4832212353098839
46	BEAST2	-1679.160977201367	0.04473319271164655	0.43848804259823737
46	PhyloDeep	-1679.429372249618	0.3131282409626692	0.1700929943472147
46	real	-1679.5994652439651	0.4832212353098839	0.0
47	PyBDEI	-2622.1483527561804	0.0	1.9579251057921283
47	BEAST2	-2622.1568183721965	0.008465616016110289	1.949459489776018
47	PhyloDeep	-2623.3214460179406	1.1730932617601866	0.7848318440319417
47	real	-2624.1062778619726	1.9579251057921283	0.0
48	PyBDEI	-1623.598539204885	0.0	1.4547163138415726
48	BEAST2	-1623.6044443675053	0.005905162620365445	1.4488111512212072
48	PhyloDeep	-1623.9700620503465	0.3715228454616408	1.0831934683799318
48	real	-1625.0532555187265	1.4547163138415726	0.0
49	PyBDEI	-2405.0114572535654	0.0	0.4261584166947614
49	BEAST2	-2405.01728289921	0.0058256456445633376	0.42033277105019806
49	PhyloDeep	-2405.2748981831824	0.2634409296169906	0.16271748707777078
49	real	-2405.43761567026	0.4261584166947614	0.0
50	PyBDEI	-2573.705164411698	0.0	3.2281978004975826
50	BEAST2	-2689.290957985939	115.5857935742406	-112.35759577374301
50	PhyloDeep	-2573.8411046283813	0.13594021668313871	3.092257583814444
50	real	-2576.933362212196	3.2281978004975826	0.0
51	PyBDEI	-885.5561335877143	0.0	1.4578945513715098
51	BEAST2	-885.5646552850507	0.008521697336391298	1.4493728540351185
51	PhyloDeep	-886.3452133795561	0.7890797918418002	0.6688147595297096
51	real	-887.0140281390858	1.4578945513715098	0.0
52	PyBDEI	-2159.996148018048	0.0	3.5774553087117056
52	BEAST2	-2159.9980633935843	0.0019153755361003277	3.5755399331756053
52	PhyloDeep	-2160.5767208732855	0.5805728552372784	2.996882453474427
52	real	-2163.57360332676	3.5774553087117056	0.0
53	PyBDEI	-1953.1372241690349	0.0	1.4527648907246657
53	BEAST2	-1953.7720000366664	0.6347758676315607	0.8179890230931051
53	PhyloDeep	-1956.2823968180987	3.145172649063852	-1.6924077583391863
53	real	-1954.5899890597595	1.4527648907246657	0.0
54	PyBDEI	-2743.2786681639172	0.0	0.655080464650382
54	BEAST2	-2743.281715475997	0.003047312079615949	0.6520331525707661
54	PhyloDeep	-2743.322589896934	0.04392173301675939	0.6111587316336227
54	real	-2743.9337486285676	0.655080464650382	0.0
55	PyBDEI	-1256.9931942810235	0.0	1.5444253830764865
55	BEAST2	-1257.2802812768482	0.2870869958246658	1.2573383872518207
55	PhyloDeep	-1257.6719530424702	0.6787587614467157	0.8656666216297708
55	real	-1258.5376196641	1.5444253830764865	0.0
56	PyBDEI	-3317.4025321542645	0.0	0.5310968217249865
56	BEAST2	-3317.4886309272115	0.08609877294702528	0.44499804877796123
56	PhyloDeep	-3317.997376804433	0.5948446501683975	-0.06374782844341098
56	real	-3317.9336289759894	0.5310968217249865	0.0
57	PyBDEI	-2311.1057838509487	0.0	1.6165448177484905
57	BEAST2	-2311.394369662245	0.2885858112963433	1.3279590064521472
57	PhyloDeep	-2311.7548289797146	0.6490451287659198	0.9674996889825707
57	real	-2312.722328668697	1.6165448177484905	0.0
58	PyBDEI	-1796.4524275516367	0.0	1.086233286584502
58	BEAST2	-1796.5485360014445	0.0961084498078435	0.9901248367766584
58	PhyloDeep	-1796.9138794479722	0.46145189633557493	0.624781390248927
58	real	-1797.5386608382212	1.086233286584502	0.0
59	PyBDEI	-1460.6228502929216	0.0	5.511813527275535
59	BEAST2	-1596.419757576126	135.7969072832043	-130.28509375592876
59	PhyloDeep	-1463.5023119224645	2.8794616295429023	2.632351897732633
59	real	-1466.1346638201971	5.511813527275535	0.0
60	PyBDEI	-2735.901491617813	0.0	0.7506199696899785
60	BEAST2	-2735.903711635789	0.0022200179760147876	0.7483999517139637
60	PhyloDeep	-2736.3582801319003	0.45678851408729315	0.2938314556026853
60	real	-2736.652111587503	0.7506199696899785	0.0
61	PyBDEI	-1009.2248801454888	0.0	3.7191295147504206
61	BEAST2	-1009.2345627707911	0.009682625302275483	3.709446889448145
61	PhyloDeep	-1009.5590283598921	0.33414821440328524	3.3849813003471354
61	real	-1012.9440096602392	3.7191295147504206	0.0
62	PyBDEI	-1635.2122184494658	0.0	2.167994556107942
62	BEAST2	-1635.224581794652	0.012363345186258812	2.1556312109216833
62	PhyloDeep	-1636.607806527019	1.3955880775531568	0.7724064785547853
62	real	-1637.3802130055738	2.167994556107942	0.0
63	PyBDEI	-3016.0092346533993	0.0	1.7978414453459663
63	BEAST2	-3016.2860667485766	0.27683209517726937	1.521009350168697
63	PhyloDeep	-3016.18044814937	0.17121349597073277	1.6266279493752336
63	real	-3017.8070760987453	1.7978414453459663	0.0
64	PyBDEI	-2504.941669534513	0.0	2.2036195927053086
64	BEAST2	-2504.9421919574593	0.0005224229462328367	2.2030971697590758
