node	GIN	LBR	SLE
root	0.9960282283733312	0.00103234714506598	0.002939424481602794
n0	0.999989712868723	2.6738414440333554e-06	7.613289832908732e-06
n34	0.9999838683484928	4.193660610258956e-06	1.1937990896951588e-05
n00	0.9999898931557245	2.6269810660368634e-06	7.479863209477079e-06
510	1.0	0.0	0.0
n3434	0.9999999860277656	3.6283959629673804e-09	1.0343838507955234e-08
n769	0.9999998916059649	9.985433686712854e-08	8.539698182853051e-09
n1	0.9999897133951567	2.6737046057304024e-06	7.6129002375418295e-06
n22	0.9999936310503355	1.6554235377250833e-06	4.713526126735813e-06
n35	0.9999981187610444	4.889716310548365e-07	1.3922673245603253e-06
n40	0.9999999788738752	5.48579656185369e-09	1.564032827706596e-08
n769769	0.9999999991185216	2.3075528439321683e-10	6.507231306883531e-10
n777777	0.999999889898796	1.0406757036126686e-07	6.033633662422023e-09
n11	0.9999999939694734	1.567460276537559e-09	4.46306627940364e-09
149	1.0	0.0	0.0
n3	0.999999452456536	1.4231802506810878e-07	4.052254389481853e-07
492	1.0	0.0	0.0
n3535	0.9999999652260464	9.038479495587298e-09	2.5735474109830988e-08
n3838	0.9999999480339378	1.35070689300586e-08	3.845899327218771e-08
n4040	0.9999910886215825	2.3162537342924795e-06	6.595124683218248e-06
n49	0.999997509778457	1.9987259208886965e-07	2.290348950828269e-06
n770	0.9999999999936151	1.6692541739684799e-12	4.7156619628963775e-12
388	1.0	0.0	0.0
n778	0.9999999986701329	3.459519556171443e-10	9.839152189978097e-10
n779	0.9999796930643987	2.0050983753616094e-05	2.559518476787282e-07
n2	0.9999999999762531	6.1723340126390626e-12	1.7574630891503687e-11
482	1.0	0.0	0.0
n33	0.9999999992341442	1.9906196202455322e-10	5.667937770028393e-10
n5	0.9999970184938713	7.749559473410472e-07	2.206550181311736e-06
n36	0.9999999586388556	1.0750628537283876e-08	3.0610515911238564e-08
n3737	0.9999999975662092	6.325932523550018e-10	1.8011975529931677e-09
n39	0.9999999480144397	1.3512136907584536e-08	3.847342343006942e-08
n3939	0.9999999922691739	2.0094037394983603e-09	5.721422231871538e-09
n41	0.9999884528977067	3.0013339434195875e-06	8.545768349939409e-06
n42	0.9999999949225257	1.3197420129689914e-09	3.757732281694051e-09
n4949	0.9999998376485089	2.6985946037372702e-08	1.353655450571773e-07
n50	0.9997083733460055	7.35458723297042e-07	0.00029089119527131603
n770770	0.9999999998864547	2.951628376287686e-11	8.402906486268593e-11
n776776	0.9999999966351265	8.746011733777464e-10	2.4902723520632654e-09
n778778	0.9999999999948119	1.3494820141206251e-12	3.83860736044661e-12
397	1.0	0.0	0.0
378	1.0	0.0	0.0
n779779	0.993029576045437	0.006931666723084199	3.875723147882236e-05
472	1.0	0.0	0.0
461	1.0	0.0	0.0
n4	0.9999999177320023	2.138317728831516e-08	6.088482046647032e-08
n44	0.9999999995563895	1.1530364992811881e-10	3.283067773486273e-10
n55	0.9999998957984425	2.708416929845946e-08	7.711738826209153e-08
n6	0.9999999976745505	6.044330590168439e-10	1.7210163759194987e-09
n3636	0.9999999949962285	1.3005851100309292e-09	3.7031863814252755e-09
382	1.0	0.0	0.0
442	1.0	0.0	0.0
n38	0.9999999949052327	1.3242368146823037e-09	3.770530433261853e-09
394	1.0	0.0	0.0
393	1.0	0.0	0.0
395	1.0	0.0	0.0
441	1.0	0.0	0.0
391	1.0	0.0	0.0
n4141	0.9999999999943895	1.4582768408512907e-12	4.152185732744925e-12
n4242	0.9999999988788815	2.914022105653794e-10	8.297163254631014e-10
n4343	0.9999995123743889	1.2674411892477198e-07	3.6088149211265697e-07
443	1.0	0.0	0.0
387	1.0	0.0	0.0
n5050	8.241265595257446e-06	2.199865384146451e-08	0.9999917367357509
377	1.0	0.0	0.0
n771	0.9999999950867015	1.2770726213176252e-09	3.636225914696032e-09
399	1.0	0.0	0.0
375	1.0	0.0	0.0
n777	0.999999995814078	1.0880088928588473e-09	3.09791314909567e-09
392	1.0	0.0	0.0
396	1.0	0.0	0.0
390	1.0	0.0	0.0
389	0.0	1.0	0.0
467	1.0	0.0	0.0
505	1.0	0.0	0.0
463	1.0	0.0	0.0
449	1.0	0.0	0.0
508	1.0	0.0	0.0
509	1.0	0.0	0.0
n66	0.999999999981764	4.739926840712538e-12	1.3496104483669489e-11
473	1.0	0.0	0.0
383	1.0	0.0	0.0
n37	0.9999999936513377	1.6501504030063446e-09	4.698511810249084e-09
385	1.0	0.0	0.0
384	1.0	0.0	0.0
379	1.0	0.0	0.0
380	1.0	0.0	0.0
412	1.0	0.0	0.0
n43	0.9999999958783418	1.0713053795901326e-09	3.050352846700914e-09
n4444	0.9999999991688291	2.1603873533031763e-10	6.151321404222472e-10
411	1.0	0.0	0.0
n51	2.7693300168179517e-06	1.7502972459491285e-08	0.9999972131670107
n5757	1.1564630798133716e-05	1.7495547274094665e-08	0.9999884178736546
n771771	0.9999999976799975	6.030172829574188e-10	1.716985203568326e-09
n775775	0.9999996858198473	8.166200820169727e-08	2.3251814456464697e-07
374	1.0	0.0	0.0
376	1.0	0.0	0.0
n7	0.9999999999993722	1.6318218551244583e-13	4.646325374536141e-13
476	1.0	0.0	0.0
386	1.0	0.0	0.0
381	1.0	0.0	0.0
413	1.0	0.0	0.0
408	1.0	0.0	0.0
n45	0.9999999956453424	1.1318668050454135e-09	3.2227908083054228e-09
n48	0.9999999993224891	1.7609927337197579e-10	5.014115769122645e-10
n5151	2.7123301317116584e-06	4.777617452959176e-10	0.9999972871921065
n56	1.2515612945077135e-05	0.005516990969774568	0.9944704934172803
n58	0.0013285653068307146	9.946943809050737e-07	0.9986704399987884
n768768	3.438247186311979e-05	2.2928494910028346e-08	0.999965594599642
n772	0.9999999999934887	1.6924218192463526e-12	4.818872201475872e-12
406	1.0	0.0	0.0
398	1.0	0.0	0.0
n776	0.9999999999986214	3.5833160678133704e-13	1.0202859590120273e-12
n77	0.999999999998102	4.933610511784707e-13	1.4047584528046565e-12
n2727	0.9999999969353687	7.963165990990561e-10	2.2683147468566775e-09
416	1.0	0.0	0.0
n4545	0.9999999999541388	1.1920275957337299e-11	3.394088033726671e-11
420	1.0	0.0	0.0
n4848	0.9999999475791839	1.362526906321301e-08	3.8795547057190424e-08
n52	1.9021875649366994e-06	4.164522726203529e-10	0.9999980973959828
n5353	0.00020012367626051113	2.7846128715696218e-08	0.9997998484776107
914	0.0	0.0	1.0
n5656	7.566187417890676e-06	0.4842473261616936	0.5157451076508885
n5858	1.3720260769502548e-05	3.5026853865980443e-10	0.999986279388962
n768	0.9615412057239704	2.8170132494756814e-05	0.03843062414353488
415	1.0	0.0	0.0
919	0.0	0.0	1.0
n772772	0.9999999899895806	2.6019178540357664e-09	7.40850151852964e-09
n775	0.999999999530788	1.21958042627358e-10	3.472539852093578e-10
400	1.0	0.0	0.0
401	1.0	0.0	0.0
n8	0.9999999999513998	1.2632201662343652e-11	3.59679630366119e-11
478	1.0	0.0	0.0
n28	0.9999999986525785	5.915140881605414e-11	1.288270069084631e-09
n3333	0.9999999884642509	2.998373868333743e-09	8.537375280982555e-09
n46	0.9999998615797157	3.597833374810751e-08	1.0244195057641382e-07
n47	0.9999999999999925	1.9798524209936267e-15	5.637280071945823e-15
418	1.0	0.0	0.0
302	0.9831894006610877	0.00436942718672019	0.012441172152192105
n5252	4.819066143760225e-08	9.039528968791146e-09	0.9999999427698096
921	0.0	0.0	1.0
920	0.0	0.0	1.0
n54	0.9879486023356072	1.6518418336184306e-06	0.012049745822559122
n57	1.5918676588905666e-07	0.9947163466988078	0.005283494114426222
422	0.0	0.0	1.0
431	0.0	0.0	1.0
n59	1.3606736216112145e-05	2.0775609153958125e-10	0.9999863930560278
437	1.0	0.0	0.0
414	1.0	0.0	0.0
n773	0.9999999995812994	1.0882906326430215e-10	3.098715354149882e-10
n774774	0.9999999992003015	2.0785839620422854e-10	5.91840069635417e-10
405	1.0	0.0	0.0
402	1.0	0.0	0.0
n88	0.9999999938284794	1.6041075729044488e-09	4.567412983970605e-09
