node	GIN	LBR	SLE
root	0.9916081461034849	0.003649591689163963	0.004742262207351077
n0	0.9991798886668078	0.0003565378226947636	0.0004635735104973894
n32	0.9998468002771822	7.152600953730867e-05	8.167371328055166e-05
n00	0.9990705116506742	0.0004040380019363151	0.0005254503473895903
n2	0.9999676785547458	1.4047731306304264e-05	1.8273713947988917e-05
n3232	0.9999925187130582	3.3562135365566918e-06	4.125073405233742e-06
n777	0.9997902552545863	0.00020503229217427255	4.712453239362316e-06
n1	0.9999910905167664	3.872249481294769e-06	5.0372337523041935e-06
149	1.0	0.0	0.0
n22	0.9999964122479266	1.5593124756060935e-06	2.028439597823292e-06
n55	0.9999973336654376	1.158835882590342e-06	1.5074986796634124e-06
n3333	0.999998636064066	5.96178807165478e-07	7.677571267482876e-07
n48	0.9999934581818446	1.4431108060326809e-06	5.098707349380442e-06
n777777	0.9933684242191709	0.006591268285589753	4.030749523941442e-05
n780780	0.9999960210283317	3.5791858152361035e-06	3.997858530810561e-07
n11	0.9999993551708912	2.802543992786763e-07	3.6457470938296967e-07
461	1.0	0.0	0.0
n3	0.999984440598581	6.762396031570994e-06	8.79700538733383e-06
n4	0.9999983699975392	7.084280725362151e-07	9.215743882672739e-07
n6	0.9999995520436528	1.9467660801891731e-07	2.532797393139821e-07
473	1.0	0.0	0.0
n34	0.9999845546065659	6.713615943223229e-06	8.731777490829281e-06
n39	0.9999774749406299	9.78999797334253e-06	1.2735061396707441e-05
n4848	0.9999555859644337	1.9399757180481062e-06	4.247405984822366e-05
443	1.0	0.0	0.0
n778	0.9999278860709546	7.121591296091536e-05	8.980160845404692e-07
389	0.0	1.0	0.0
375	1.0	0.0	0.0
n781	0.9999992603778152	3.5729462514732946e-07	3.823275596719309e-07
482	1.0	0.0	0.0
472	1.0	0.0	0.0
n33	0.9999968348024919	1.3756511327260849e-06	1.7895463753652389e-06
492	1.0	0.0	0.0
n44	0.9999995292699514	2.0458765102113454e-07	2.661423976089152e-07
n5	0.9999983059779978	7.362520900582181e-07	9.577699122192874e-07
n66	0.9999997859181187	9.203748160887395e-08	1.220443997539412e-07
476	1.0	0.0	0.0
n3434	0.9999929325990563	3.0716202379633517e-06	3.995780705693015e-06
n36	0.9999974377997305	1.1135789798321193e-06	1.4486212897039037e-06
n3939	0.9999764135375392	1.0251106473826142e-05	1.3335355987043173e-05
n4040	0.9999967713152049	1.4032440536837714e-06	1.8254407414885438e-06
n49	0.9941079384568735	0.00012225525607421924	0.005769806287052258
387	1.0	0.0	0.0
376	1.0	0.0	0.0
n778778	0.9999981303437347	1.5118626225674829e-06	3.5779364264681745e-07
390	1.0	0.0	0.0
n781781	0.9999992967416915	3.0636991746626016e-07	3.968883910429905e-07
508	1.0	0.0	0.0
509	1.0	0.0	0.0
449	1.0	0.0	0.0
463	1.0	0.0	0.0
505	1.0	0.0	0.0
467	1.0	0.0	0.0
n7	0.9999993701231072	1.1228237340876315e-07	5.175945193545466e-07
n30	0.9999997551170892	1.0642321324671885e-07	1.3845969758540908e-07
n35	0.9999991246992959	3.8042128107470037e-07	4.948794230100842e-07
393	1.0	0.0	0.0
n3636	0.9999989066588362	4.751855268648956e-07	6.181556370214943e-07
