node	GIN	LBR	SLE
901	0.0	0.0	1.0
n14	0.00016722024462621958	0.996741886007074	0.003090893748299683
n1414	1.4592968618312577e-06	1.071581366727191e-05	0.999987824889471
911	0.0	0.0	1.0
423	0.0	0.0	1.0
968	0.0	0.0	1.0
947	0.0	0.0	1.0
944	0.0	0.0	1.0
n15	0.0	0.0	1.0
918	0.0	0.0	1.0
870	0.0	1.0	0.0
n1515	0.0004155806882568471	0.9750615178596121	0.024522901452130912
977	0.0	0.0	1.0
950	0.0	0.0	1.0
933	0.0	0.0	1.0
948	0.0	0.0	1.0
915	0.0	0.0	1.0
440	0.0	1.0	0.0
n17	0.0	0.0	1.0
966	0.0	0.0	1.0
941	0.0	0.0	1.0
989	0.0	0.0	1.0
956	0.0	0.0	1.0
942	0.0	0.0	1.0
913	0.0	0.0	1.0
939	0.0	0.0	1.0
996	0.0	0.0	1.0
959	0.0	0.0	1.0
925	0.0	0.0	1.0
926	0.0	0.0	1.0
n1717	0.0005904845219292428	0.9920732846506515	0.007336230827419258
n18	8.329687925847396e-77	1.9374646327031724e-47	1.0
n2020	3.067421053042771e-10	0.999999971694147	2.7999110961017714e-08
n2323	0.9999999971968194	2.6232919064662803e-11	2.776947734186445e-09
n27	8.329687925847395e-77	1.9374646327032988e-47	1.0
930	0.0	0.0	1.0
n28	2.2812645547687334e-10	0.9999999962283579	3.543515628889438e-09
856	0.0	1.0	0.0
n30	0.0009733928985203594	0.8422665814558944	0.15676002564558528
n3434	4.7587255382997064e-09	0.9999998047239784	1.9051729594898866e-07
n4040	6.84953551181197e-35	1.0	3.347458868779533e-33
n5151	5.389560228876919e-16	0.999999999999996	3.5068408620955197e-15
n58	2.370482759777417e-21	1.0	7.967187916377768e-22
878	0.0	1.0	0.0
n78	7.999200040022092e-155	4.5446900251016603e-156	1.0
145	1.0	0.0	0.0
n261261	0.0022680709864783748	5.042487308836144e-06	0.9977268865262128
236	1.0	0.0	0.0
n263263	0.9999965633729714	2.1776940913134066e-06	1.2589329373371827e-06
147	1.0	0.0	0.0
154	1.0	0.0	0.0
231	1.0	0.0	0.0
234	1.0	0.0	0.0
152	1.0	0.0	0.0
153	1.0	0.0	0.0
232	1.0	0.0	0.0
n266266	1.0	0.0	0.0
889	0.0	1.0	0.0
324	0.0	1.0	0.0
910	0.0	0.0	1.0
766	0.0	1.0	0.0
900	0.0	0.0	1.0
916	0.0	0.0	1.0
n16	1.8916533108863366e-05	0.9996009504538486	0.0003801330130424493
n1616	2.467247611423175e-07	0.9999963976481252	3.3556271135202016e-06
938	0.0	0.0	1.0
433	0.0	0.0	1.0
964	0.0	0.0	1.0
764	0.0	1.0	0.0
865	0.0	1.0	0.0
830	0.0	1.0	0.0
n1818	1.897780622342616e-15	0.9999999999998426	1.5555494871753094e-13
429	0.0	1.0	0.0
782	0.0	1.0	0.0
427	0.0	1.0	0.0
831	0.0	1.0	0.0
320	0.0	1.0	0.0
n21	0.0002894291230744616	0.9997076787676485	2.892109277092105e-06
263	1.0	0.0	0.0
340	1.0	0.0	0.0
326	1.0	0.0	0.0
373	1.0	0.0	0.0
262	1.0	0.0	0.0
n24	0.999999998844187	7.323999667166315e-10	4.2341288932990847e-10
283	1.0	0.0	0.0
n25	1.0	2.556394052197368e-18	1.47786737619365e-18
1032	0.0	0.0	1.0
15	0.0	0.0	1.0
n2727	1.5714986920788986e-06	9.821699873884023e-07	0.9999974463313205
805	0.0	1.0	0.0
734	0.0	1.0	0.0
n2828	0.0	1.0	0.0
715	0.0	1.0	0.0
n29	2.906059529001745e-07	0.9999996043954431	1.0499860393444593e-07
815	0.0	1.0	0.0
n3030	3.554648538193742e-15	0.9999999999999928	3.7406025410415595e-15
759	0.0	1.0	0.0
828	0.0	1.0	0.0
852	0.0	1.0	0.0
n35	2.279511320471829e-06	0.9999968956790453	8.248096343022888e-07
n3535	1.1145688779364605e-06	0.9999984751128802	4.1031824191183574e-07
875	0.0	1.0	0.0
868	0.0	1.0	0.0
779	0.0	1.0	0.0
n41	6.192900428981491e-06	0.9999915695510802	2.2375484908503475e-06
876	0.0	1.0	0.0
n4141	6.563820486102328e-06	0.9999910646143981	2.3715651157831256e-06
891	0.0	1.0	0.0
n42	1.6242487078448597e-05	0.9999778889618498	5.868551071798212e-06
n43	1.3483837707325815e-10	0.9999999998164434	4.8718271929102994e-11
845	0.0	1.0	0.0
n4444	6.968461355507335e-08	0.9999999051377328	2.517765361864339e-08
849	0.0	1.0	0.0
n4747	6.84953551181197e-35	1.0	3.347458868779533e-33
730	0.0	1.0	0.0
718	0.0	1.0	0.0
n52	5.001009846303276e-05	0.999931920820397	1.8069081140108724e-05
874	0.0	1.0	0.0
890	0.0	1.0	0.0
755	0.0	1.0	0.0
n5252	6.39282360379914e-08	0.9999999129739393	2.3097824665153698e-08
848	0.0	1.0	0.0
n5555	0.00921587545809721	0.990583748695146	0.00020037584675669802
n56	6.882832022527665e-13	0.9999999999990629	2.486826743257151e-13
n5858	0.9999708892560799	2.9110743920153934e-05	1.3067880548643322e-19
n73	2.5984400315031843e-05	0.9999646272110976	9.388388587431717e-06
316	0.02104292479384703	0.9713540844661107	0.007602990740042224
879	0.0	1.0	0.0
n7373	2.370482759777417e-21	1.0	7.967187916377768e-22
843	0.0	1.0	0.0
867	0.0	1.0	0.0
789	0.0	1.0	0.0
827	0.0	1.0	0.0
n74	1.2321022218021948e-07	0.9999998322728588	4.451691898783313e-08
842	0.0	1.0	0.0
837	0.0	1.0	0.0
n75	1.8487959624766754e-08	0.9999999748321805	6.679859725130848e-09
n76	0.0	1.0	0.0
n7676	1.3406582394283263e-06	0.9999981749503425	4.843914180083617e-07
1013	0.0	0.0	1.0
970	0.0	0.0	1.0
954	0.0	0.0	1.0
955	0.0	0.0	1.0
1000	0.0	0.0	1.0
931	0.0	0.0	1.0
912	0.0	0.0	1.0
922	0.0	0.0	1.0
927	0.0	0.0	1.0
1038	0.0	0.0	1.0
998	0.0	0.0	1.0
991	0.0	0.0	1.0
967	0.0	0.0	1.0
1002	0.0	0.0	1.0
62	0.0	0.0	1.0
1001	0.0	0.0	1.0
972	0.0	0.0	1.0
984	0.0	0.0	1.0
923	0.0	0.0	1.0
475	1.0	0.0	0.0
976	0.0	0.0	1.0
946	0.0	0.0	1.0
904	0.0	0.0	1.0
1006	0.0	0.0	1.0
1048	0.0	0.0	1.0
953	0.0	0.0	1.0
906	0.0	0.0	1.0
907	0.0	0.0	1.0
n7878	0.0	0.0	1.0
924	0.0	0.0	1.0
928	0.0	0.0	1.0
1015	0.0	0.0	1.0
932	0.0	0.0	1.0
940	0.0	0.0	1.0
969	0.0	0.0	1.0
905	0.0	0.0	1.0
978	0.0	0.0	1.0
908	0.0	0.0	1.0
999	0.0	0.0	1.0
997	0.0	0.0	1.0
n80	0.0	0.0	1.0
n8080	2.055301633347103e-05	1.2845416858944085e-05	0.9999666015668076
903	0.0	0.0	1.0
935	0.0	0.0	1.0
n81	4.485676788540106e-07	2.8035003382667097e-07	0.9999992710822874
943	0.0	0.0	1.0
n8181	3.928209323095567e-09	6.9872575851037e-11	0.999999996001918
n83	0.0	0.0	1.0
986	0.0	0.0	1.0
1018	0.0	0.0	1.0
988	0.0	0.0	1.0
694	0.0	0.0	1.0
n8383	7.999200040022092e-155	4.5446900251016603e-156	1.0
951	0.0	0.0	1.0
985	0.0	0.0	1.0
n8585	0.0	0.0	1.0
987	0.0	0.0	1.0
n86	2.2221328135589686e-17	1.3888094011592036e-17	1.0
n89	7.999200040022092e-155	4.5446900251016603e-156	1.0
n107107	1.8621686533877862e-48	1.1638356252103931e-48	1.0
902	0.0	0.0	1.0
n133133	7.999200040022093e-155	4.5446900251016603e-156	1.0
n135135	0.0	0.0	1.0
n262	1.2538130973750248e-05	1.5848728433839578e-06	0.9999858769961828
1429	0.0	0.0	1.0
1221	0.0	0.0	1.0
179	1.0	0.0	0.0
n264	1.0	0.0	0.0
n264264	0.9999864438794608	8.590133102406688e-06	4.9659874368340955e-06
165	1.0	0.0	0.0
157	1.0	0.0	0.0
155	1.0	0.0	0.0
n267	0.9999999999999859	9.014552508739752e-15	5.211345851502674e-15
719	0.0	1.0	0.0
10	0.0	1.0	0.0
817	0.0	1.0	0.0
816	0.0	1.0	0.0
818	0.0	1.0	0.0
n19	1.897780622342616e-15	0.9999999999998426	1.5555494871753094e-13
785	0.0	1.0	0.0
n2121	1.5190263303884654e-07	0.9999998023357645	4.576160252846798e-08
n2222	2.243992508334559e-05	0.9999727402212454	4.8198536713391355e-06
n23	0.9999999999999186	8.051277348596604e-14	8.128763620268483e-16
267	1.0	0.0	0.0
264	1.0	0.0	0.0
321	1.0	0.0	0.0
n2424	0.9999736013557199	1.6728079942188306e-05	9.670564337968441e-06
265	1.0	0.0	0.0
338	1.0	0.0	0.0
282	1.0	0.0	0.0
348	1.0	0.0	0.0
354	1.0	0.0	0.0
272	1.0	0.0	0.0
277	1.0	0.0	0.0
n2525	0.9999949818709818	3.1798475136540423e-06	1.8382815045589853e-06
273	1.0	0.0	0.0
284	1.0	0.0	0.0
489	1.0	0.0	0.0
281	1.0	0.0	0.0
1063	0.0	0.0	1.0
1033	0.0	0.0	1.0
783	0.0	1.0	0.0
742	0.0	1.0	0.0
784	0.0	1.0	0.0
780	0.0	1.0	0.0
773	0.0	1.0	0.0
896	0.0	1.0	0.0
n2929	6.599858439435262e-07	0.9999991015555617	2.384585942993852e-07
309	0.0	1.0	0.0
306	0.0	1.0	0.0
304	0.0	1.0	0.0
310	0.0	1.0	0.0
307	0.0	1.0	0.0
n31	0.0	1.0	0.0
305	0.0	1.0	0.0
n3131	0.9999998140402825	1.8330853091825032e-07	2.651186655277868e-09
790	0.0	1.0	0.0
855	0.0	1.0	0.0
n36	1.007968461034666e-07	0.9999998627810358	3.642211816938372e-08
n37	4.6625937309675075e-11	0.9999999999365266	1.6847399962284135e-11
844	0.0	1.0	0.0
832	0.0	1.0	0.0
823	0.0	1.0	0.0
721	0.0	1.0	0.0
741	0.0	1.0	0.0
n4242	0.0	1.0	0.0
745	0.0	1.0	0.0
748	0.0	1.0	0.0
n4343	0.0	1.0	0.0
749	0.0	1.0	0.0
854	0.0	1.0	0.0
n45	1.41244619217936e-07	0.999999807722478	5.103290262714626e-08
754	0.0	1.0	0.0
877	0.0	1.0	0.0
781	0.0	1.0	0.0
885	0.0	1.0	0.0
794	0.0	1.0	0.0
n48	0.0	1.0	0.0
n4848	1.6308487396058354e-06	0.9999977799115046	5.892397557424277e-07
744	0.0	1.0	0.0
871	0.0	1.0	0.0
n49	7.289078069160634e-06	0.9999900773149771	2.6336069537005447e-06
802	0.0	1.0	0.0
772	0.0	1.0	0.0
814	0.0	1.0	0.0
n53	1.7433807058308728e-13	0.9999999999998128	1.2739348047353987e-14
776	0.0	1.0	0.0
279	1.0	0.0	0.0
838	0.0	1.0	0.0
717	0.0	1.0	0.0
n5656	2.1461555500191785e-11	0.999999999970784	7.75424563521569e-12
801	0.0	1.0	0.0
714	0.0	1.0	0.0
n5757	6.882832022527665e-13	0.9999999999990629	2.486826743257151e-13
839	0.0	1.0	0.0
n59	3.1008007429793826e-05	0.999968199504564	7.924880064237375e-07
n5959	0.9999708892560799	2.9110743920153934e-05	1.3067880548643322e-19
722	0.0	1.0	0.0
728	0.0	1.0	0.0
791	0.0	1.0	0.0
792	0.0	1.0	0.0
833	0.0	1.0	0.0
n7474	2.326550182983839e-06	0.9999968328471122	8.406027047457715e-07
884	0.0	1.0	0.0
756	0.0	1.0	0.0
880	0.0	1.0	0.0
n7575	2.4688772536049063e-05	0.9999663909603997	8.920267064275965e-06
810	0.0	1.0	0.0
825	0.0	1.0	0.0
788	0.0	1.0	0.0
847	0.0	1.0	0.0
841	0.0	1.0	0.0
836	0.0	1.0	0.0
n7777	2.889691103115994e-07	0.9999996066238508	1.0440703901102873e-07
n79	0.0	0.0	1.0
1073	0.0	0.0	1.0
934	0.0	0.0	1.0
909	0.0	0.0	1.0
56	0.0	0.0	1.0
42	0.0	0.0	1.0
1034	0.0	0.0	1.0
992	0.0	0.0	1.0
517	1.0	0.0	0.0
1070	0.0	0.0	1.0
1069	0.0	0.0	1.0
n82	1.2857478537544373e-12	8.035730216522951e-13	0.9999999999979108
1021	0.0	0.0	1.0
961	0.0	0.0	1.0
962	0.0	0.0	1.0
n84	2.0898437550728125e-28	1.2576061280252568e-30	1.0
1025	0.0	0.0	1.0
1031	0.0	0.0	1.0
952	0.0	0.0	1.0
957	0.0	0.0	1.0
958	0.0	0.0	1.0
949	0.0	0.0	1.0
n8686	0.0	0.0	1.0
n87	0.0	0.0	1.0
974	0.0	0.0	1.0
1022	0.0	0.0	1.0
1016	0.0	0.0	1.0
1024	0.0	0.0	1.0
1008	0.0	0.0	1.0
993	0.0	0.0	1.0
n8989	9.637159019368568e-08	6.023122004633548e-08	0.9999998433971898
651	0.0	0.0	1.0
n108	1.8621686533877862e-48	1.1638356252103931e-48	1.0
995	0.0	0.0	1.0
n134	1.1517651298108495e-08	7.198409701023978e-09	0.999999981283939
1026	0.0	0.0	1.0
7	0.0	0.0	1.0
1351	0.0	0.0	1.0
1004	0.0	0.0	1.0
1030	0.0	0.0	1.0
516	1.0	0.0	0.0
973	0.0	0.0	1.0
1036	0.0	0.0	1.0
960	0.0	0.0	1.0
980	0.0	0.0	1.0
518	1.0	0.0	0.0
1047	0.0	0.0	1.0
559	0.0	0.0	1.0
1039	0.0	0.0	1.0
1067	0.0	0.0	1.0
512	1.0	0.0	0.0
1017	0.0	0.0	1.0
519	1.0	0.0	0.0
1005	0.0	0.0	1.0
975	0.0	0.0	1.0
523	1.0	0.0	0.0
982	0.0	0.0	1.0
n136	0.0	0.0	1.0
983	0.0	0.0	1.0
971	0.0	0.0	1.0
1081	0.0	0.0	1.0
n136136	1.642746491430283e-07	1.0266991050664e-07	0.9999997330554403
n137	0.9995623855705492	1.8097746561899787e-05	0.0004195166828888789
522	1.0	0.0	0.0
979	0.0	0.0	1.0
929	0.0	0.0	1.0
994	0.0	0.0	1.0
1037	0.0	0.0	1.0
n137137	2.2004686255207916e-09	1.3752695137895946e-09	0.9999999964242617
n138138	2.443627566206582e-08	1.5272412684658943e-08	0.9999999602913116
14	0.0	0.0	1.0
n139	0.0	0.0	1.0
n141	1.3927183808493155e-14	8.70434192181747e-15	0.9999999999999774
16	0.0	0.0	1.0
526	1.0	0.0	0.0
n149	0.9451649940906736	0.0011002267190388635	0.05373477919028748
n149149	3.337337410315393e-27	2.035801114010366e-27	1.0
n158158	0.9984661830568557	6.081436366083234e-05	0.0014730025794833935
527	1.0	0.0	0.0
n159	2.9984810745644167e-62	1.8740188165816422e-62	1.0
965	0.0	0.0	1.0
n177177	1.275032372987226e-20	5.129145635225725e-22	1.0
n193	0.999477715571588	1.5735409725463936e-05	0.0005065490186866247
511	1.0	0.0	0.0
524	1.0	0.0	0.0
513	1.0	0.0	0.0
n210	0.0	0.0	1.0
1500	0.0	0.0	1.0
1503	0.0	0.0	1.0
163	1.0	0.0	0.0
168	1.0	0.0	0.0
n265	1.0	0.0	0.0
161	1.0	0.0	0.0
247	1.0	0.0	0.0
n267267	1.0	0.0	0.0
172	1.0	0.0	0.0
n268268	1.0	0.0	0.0
177	1.0	0.0	0.0
237	1.0	0.0	0.0
834	0.0	1.0	0.0
774	0.0	1.0	0.0
883	0.0	1.0	0.0
729	0.0	1.0	0.0
881	0.0	1.0	0.0
862	0.0	1.0	0.0
n1919	1.60855558842789e-07	0.9999997810259363	5.81185047537849e-08
758	0.0	1.0	0.0
895	0.0	1.0	0.0
n20	4.012558082286273e-05	0.9999453766997543	1.4497719422960266e-05
813	0.0	1.0	0.0
812	0.0	1.0	0.0
858	0.0	1.0	0.0
731	0.0	1.0	0.0
314	1.0	0.0	0.0
266	1.0	0.0	0.0
311	1.0	0.0	0.0
274	1.0	0.0	0.0
268	1.0	0.0	0.0
313	1.0	0.0	0.0
312	1.0	0.0	0.0
269	1.0	0.0	0.0
335	1.0	0.0	0.0
n26	0.9999957029409678	2.7229257019804527e-06	1.5741333302133747e-06
n2626	0.9999695121956653	1.9319265897434166e-05	1.1168538437272442e-05
897	0.0	1.0	0.0
