	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
8	real	194.65445025		7.0	0.0	0.054506245629029	0.4189545259980157	0.2118551247988796	0.969111940083884	1.977552001141071	4.7202067967406025	18.346521365753706
8	max				0.07565005929081296	0.0568001739487769	0.4108768122808665	0.2146320166678106		1.914331415507254	4.659137138648405	17.60557988610759
8	zero				0.07564467982376528	0.0567905084758002	0.4109583885016563	0.2146510774173143		1.9145414663011016	4.658723413047902	17.608576271616283
9	max				13.002470606620692	0.0403709935744229	0.1983022710327142	0.1688403734268719		1.1744955724029054	5.922754017321096	24.77025981925672
9	real	630.3244340925		34.0	36.0	0.040174735893102	0.1952277932119866	0.1653904539507312	0.488340826384015	1.1804054499429801	6.046298175696971	24.89126506421415
9	zero				13.010720248537956	0.0403760914503708	0.1982377851322346	0.1689245219140769		1.1735287623490676	5.919803641703647	24.767132331993366
10	zero				15.82373197197449	0.0810411332252737	0.2382331700369443	0.1064284370817159		2.2384352957661924	9.395985015097033	12.339412841380865
10	max				15.78449179658429	0.0809385226562172	0.238279956011782	0.1062646575903312		2.2423255428008124	9.41046649635078	12.355056247412069
10	real	169.2468582675		26.0	241.0	0.0818265224793332	0.2376218173182294	0.1047980768032791	0.097229373886524	2.2674253628172907	9.542159842085102	12.220976398606803
11	max				0.0467508725990413	0.1817182551573349	0.5199480838224239	0.1178107161770058		4.41341926010553	8.488192181919514	5.503024443714706
11	zero				0.04677552991970553	0.181522098138951	0.5203200074760792	0.1178540247887995		4.414953230562294	8.485072968802308	5.508971140442212
11	real	46.68773700000001		11.0	0.0	0.1769383037796349	0.5313673599444807	0.1162934665687773	0.9794623100045532	4.569193572282273	8.598935344390894	5.651687501454941
12	real	15.990396464999998		31.0	5.0	1.0078753755368204	1.251481111615416	0.5541087076859079	0.859900914773923	2.258547996550901	1.8047000275022604	0.992186161376722
12	max				1.4881585805885547	1.091220903018025	1.2370687252793438	0.5734172831049297		2.157362119573526	1.7439306931685383	0.9164047327486738
12	zero				1.4891922497815924	1.0917928929562382	1.2363657618367778	0.5736377430539148		2.1553075556964787	1.7432604672702168	0.9159246286100184
13	real	166.34549699999994		3.0	1.0	0.0554118989833059	0.3459652947103291	0.1055188323559483	0.82375001633051	3.278706625024802	9.476981290189837	18.046665397648127
13	max				0.13113662062047285	0.0564047994819309	0.3446341496299169	0.1024502964397919		3.363915592303353	9.760830712556116	17.728987766729784
13	zero				0.1312005974652575	0.0564505883485296	0.3443889158428885	0.1024414647087256		3.3618117119088278	9.761672217820442	17.71460722120263
14	real	146.826123		4.0	269.0	0.164552752962364	0.2933530217922129	0.1234027896112856	0.014676794147326	2.377199273341101	8.103544523993051	6.077078517359822
14	zero				2.7712707689426335	0.1654499653973437	0.2910539825023008	0.1220336323460853		2.38503088785292	8.194462303342872	6.0441233553503935
14	max				2.767195486832749	0.1647549743429381	0.2918209903638124	0.1222455244699394		2.387171159264585	8.18025857663119	6.069619469688945
15	max				38.38387981023518	0.1340851861381078	1.1920169442204993	0.296519083536288		4.0200344949286215	3.3724642207644617	7.457945421129514
15	zero				38.95926747200244	0.1345117426928578	1.196399165084346	0.3014733973526333		3.96850659325313	3.317042262373487	7.434295177361471
15	real	46.65162689999999		92.0	3580.0	0.1390087963499249	1.152667875605596	0.2992340417689021	0.025057708098227	3.85206131224802	3.3418657653005206	7.193789359075622
16	max				0.27662337977162593	0.1365260194408245	2.189209674531436	0.546694441861004		4.004448384510991	1.829175355425048	7.324611118787049
16	zero				0.2768501590220116	0.1367052255130273	2.1864830677456104	0.5465120440792105		4.00079575817858	1.8297858406484848	7.315009329359579
16	real	51.2269196175		1.0	7.0	0.1354283063545529	2.229957450884843	0.558194370222384	0.129623054853193	3.9949479425892997	1.7914906587137398	7.383980697373473
17	zero				5.441623563469734	0.0464351474140043	0.1794320419413345	0.1074337037464549		1.6701652803927962	9.30806595256191	21.53541133581954
17	real	239.73496350000005		51.0	16.0	0.0458908304993859	0.1780435041793792	0.1062917469608581	0.758180898887686	1.6750454223406797	9.408068157617635	21.790845559297118
17	max				5.435791493583574	0.0464137940009357	0.1795470189329874	0.1073402563786363		1.6726904238019142	9.316169289484082	21.545319048467324
18	zero				2.5102303337255387	0.1134659000835286	1.1731771931575523	0.3432399784765403		3.417950316756987	2.913413537777469	8.813220529373531
18	real	45.304535722500006		23.0	13.0	0.114416769959509	1.1752395018773178	0.3508021480942052	0.638127425862025	3.3501491033108395	2.850609682502451	8.739977543098712
18	max				2.506066467583017	0.1135264560962103	1.173385252107717	0.342719422059019		3.423748922830672	2.9178387206424263	8.808519479834107
19	real	65.01152962500001		33.0	26.0	0.0632796277062431	0.7341348163315163	0.1674935987226959	0.5576676637930279	4.383061931500782	5.970377421143182	15.802874262190723
19	zero				4.306363882627198	0.0654226801109501	0.7244001365588199	0.1658751357624606		4.367141182607306	6.028631086891992	15.285219106036363
19	max				4.290760237351564	0.065675792572195	0.7226012865432758	0.1654276695735476		4.368079949418704	6.04493796338834	15.2263103471608
20	max				2.401605934581755	0.0498605702571752	0.4766802071083642	0.2139365847570997		2.228137873891834	4.674282339953144	20.055927857264997
20	real	165.20958899999997		15.0	10.0	0.0496271699862989	0.4778842627671259	0.213452735658054	0.5988352752009151	2.23882941248729	4.684877881359062	20.150252377398925
20	zero				2.403122455148843	0.0498625188402726	0.4768491442567574	0.2141722197649179		2.226475239319842	4.669139634905177	20.05514408935809
21	max				36.55327974755321	0.0301930429252985	0.5547139424850046	0.1151080325695128		4.819072397489004	8.687491026276621	33.12021257592777
21	zero				36.94619854211633	0.0298468139758452	0.5594357549812644	0.1156931951122955		4.835511323187658	8.643550720760778	33.50441359701874
21	real	110.875516875		114.0	380.0	0.0294704721375339	0.5649532010334002	0.1165741065971485	0.230756691362523	4.846300928436362	8.578234302543313	33.93226940285051
