	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
6	PyBDEI (lambda)					0.3667385075272451	0.6147459861167709	0.09247573424111236	0.056024282536087266	6.647646446514728	10.813647582323554	2.726738478439464
6	PyBDEI (mu)					0.4975835768756962	0.6354205906086688	0.14991937773524214	0.02892781049516462	4.238415341683331	6.6702518053803646	2.00971263215509
7	PyBDEI (mu)					0.050938770042800896	0.6355760974026439	0.21629931014104656	0.32541226726132283	2.9384101918225776	4.623223251835201	19.6314123635054
7	PyBDEI (p)					0.05201456264518325	0.6385192781160404	0.22066647516359572	0.31573505363974197	2.89359440595886	4.531725987187809	19.225385144954284
7	PyBDEI (psi)					0.05088754592825506	0.633189547847357	0.2150041801769944	0.3271831055405777	2.9450104055005197	4.65107236136891	19.651173617408713
7	real	0.0		31.0	0.0	0.050938770042800896	0.6308707935278659	0.2150041801769944	0.31573505363974197	2.9342257113723296	4.65107236136891	19.6314123635054
7	PyBDEI (lambda)					0.051255045297724684	0.6308707935278659	0.21549915436578515	0.3260787502894405	2.9274861675653487	4.6403894388495575	19.510274436229835
8	real	0.0		39.0	0.0	0.05450624562902902	0.4189545259980157	0.21185512479887966	0.969111940083884	1.9775520011410703	4.720206796740601	18.3465213657537
8	PyBDEI (mu)					0.05450624562902902	0.4230673248823042	0.21272049360555054	0.9683687491595546	1.9888414026849783	4.701004510897331	18.3465213657537
8	PyBDEI (psi)					0.057261927842139786	0.41372954580568094	0.21185512479887966	0.9654575595318121	1.952889014124377	4.720206796740602	17.463610424657883
8	PyBDEI (p)					0.05718912670932001	0.413007360199086	0.2118519099411784	0.969111940083884	1.949509732122591	4.720278425989429	17.485841409727836
8	PyBDEI (lambda)					0.05690882315643275	0.4189545259980157	0.21361092154866074	0.962409944273254	1.9612973108333205	4.6814085756949435	17.571967658708537
9	PyBDEI (lambda)					0.040415504105242916	0.1952277932119866	0.16489724614918605	0.4917310059872873	1.183936043633863	6.0643826586120095	24.742979758361457
9	PyBDEI (mu)					0.04017473589310208	0.19974917023972635	0.16809344847815538	0.4865973026956594	1.1883221627503513	5.949071835062955	24.891265064214096
9	real	0.0		34.0	0.0	0.04017473589310208	0.1952277932119866	0.16539045395073124	0.488340826384015	1.18040544994298	6.04629817569697	24.891265064214096
9	PyBDEI (p)					0.04044520192844988	0.1985708166445413	0.16726672523133598	0.488340826384015	1.1871507400525156	5.978475387839175	24.72481165427393
9	PyBDEI (psi)					0.04044609262417684	0.19705801073630327	0.16539045395073124	0.4888894105772154	1.1914714908213844	6.04629817569697	24.7242671694384
10	PyBDEI (mu)					0.08182652247933321	0.23347486387936825	0.10246078215967312	0.0995512014566038	2.278675401047837	9.759831800245456	12.220976398606801
10	real	0.0		36.0	0.0	0.08182652247933321	0.2376218173182295	0.10479807680327913	0.09722937388652401	2.267425362817291	9.542159842085098	12.220976398606801
10	PyBDEI (lambda)					0.0787242899296813	0.2376218173182295	0.1027679727688828	0.10146410628880112	2.312216646061731	9.730658035348448	12.702559793085813
10	PyBDEI (psi)					0.07987596842042198	0.2393139576327971	0.10479807680327913	0.0988675297946879	2.2835720361741307	9.542159842085098	12.519410027513722
10	PyBDEI (p)					0.08092131282808293	0.2388209227176785	0.10500598150869164	0.09722937388652401	2.274355415628496	9.523267014243633	12.357683841888434
11	PyBDEI (mu)					0.17693830377963493	0.5357621035012037	0.12041550274452426	0.9589515466617512	4.449278467390418	8.304578540203568	5.65168750145494
11	PyBDEI (p)					0.18417951863910853	0.5191366362005282	0.11671631336675438	0.9794623100045532	4.447849843999611	8.567782610282832	5.429485359658557
11	PyBDEI (psi)					0.1851647585909502	0.5191920014090905	0.11629346656877736	0.9745060358208876	4.464498451441673	8.59893534439089	5.400595705196325
11	PyBDEI (lambda)					0.1863489023824889	0.5313673599444807	0.12412182285559045	0.9118114229801492	4.2810147943339505	8.05660098275748	5.366277918543669
11	real	0.0		29.0	0.0	0.17693830377963493	0.5313673599444807	0.11629346656877736	0.9794623100045532	4.569193572282272	8.59893534439089	5.65168750145494
12	PyBDEI (lambda)					1.0820476408056672	1.2514811116154159	0.5663123770914029	0.8678861439536537	2.2098777322209697	1.7658098965380724	0.9241737260805112
12	PyBDEI (psi)					1.0824457718020797	1.228144999025635	0.5541087076859079	0.8929907614075246	2.2164333135183267	1.8047000275022604	0.923833808630596
12	PyBDEI (p)					1.0975198135027375	1.2439762645721102	0.5674004526148514	0.859900914773923	2.192413239783781	1.7624236910484017	0.9111452820231984
12	PyBDEI (mu)					1.0078753755368204	1.212571781394244	0.5260747838303286	0.9793305186380404	2.3049418422330747	1.900870428951264	0.992186161376722
12	real	0.0		43.0	0.0	1.0078753755368204	1.2514811116154159	0.5541087076859079	0.859900914773923	2.2585479965509005	1.8047000275022604	0.992186161376722
13	PyBDEI (p)					0.05720248919060355	0.3450415701317836	0.10083781941590826	0.82375001633051	3.4217476352661937	9.916914167644515	17.481756723346688
13	PyBDEI (lambda)					0.056807513846003015	0.3459652947103291	0.10048374344613674	0.8286958114837238	3.442997671516689	9.95185853656059	17.603305131621426
13	real	0.0		21.0	0.0	0.055411898983305966	0.3459652947103291	0.10551883235594836	0.82375001633051	3.2787066250248	9.476981290189832	18.046665397648106
13	PyBDEI (mu)					0.055411898983305966	0.3479779005649286	0.09961426321433564	0.841083581720379	3.493253770458552	10.03872304760558	18.046665397648106
13	PyBDEI (psi)					0.05761650027613819	0.3505186058310996	0.10551883235594836	0.7960173852489052	3.3218582693247547	9.476981290189832	17.35613921719138
14	real	0.0		18.0	0.0	0.16455275296236402	0.2933530217922129	0.12340278961128565	0.014676794147326	2.3771992733411	8.103544523993047	6.077078517359821
14	PyBDEI (lambda)					0.15075209215060956	0.2933530217922129	0.11648200210071365	0.016106062219202372	2.5184407591017504	8.585017272757483	6.6334071105357895
14	PyBDEI (mu)					0.16455275296236402	0.3435793415560917	0.15529775179297325	0.011050058398139209	2.2123909560140693	6.439243250173357	6.077078517359822
14	PyBDEI (psi)					0.15904902276641628	0.298310360545296	0.12340278961128565	0.014692751861482403	2.4173712886472254	8.103544523993047	6.287369658778899
14	PyBDEI (p)					0.16003296635824438	0.2967230976513653	0.12264092871463445	0.014676794147326	2.4194459448508567	8.15388476327375	6.248712516903759
15	real	0.0		19.0	0.0	0.13900879634992494	1.152667875605596	0.29923404176890217	0.025057708098227	3.8520613122480194	3.34186576530052	7.193789359075621
15	PyBDEI (lambda)					0.12496986003103308	1.152667875605596	0.2662351573260705	0.03004826543672118	4.329510374145928	3.75607793517388	8.001929423235936
15	PyBDEI (p)					0.1385377588437704	1.1777617555335762	0.3038573230819075	0.025057708098227	3.876035448440056	3.291018264287285	7.218248716782722
15	PyBDEI (mu)					0.13900879634992494	1.1301257564556821	0.28674602338170113	0.026891821853058127	3.9412081225318976	3.487406689050585	7.1937893590756214
15	PyBDEI (psi)					0.13647485343693208	1.176084445008717	0.29923404176890217	0.025686090116799197	3.930316343877092	3.34186576530052	7.327357200366008
16	PyBDEI (mu)					0.13542830635455294	2.247422853705398	0.5549846262615047	0.12654891646409916	4.049522720736465	1.8018517138685701	7.383980697373472
16	PyBDEI (lambda)					0.14420043069043958	2.229957450884843	0.5810763631770894	0.11894936348183037	3.837632352987723	1.7209442052201305	6.934792047512932
16	PyBDEI (p)					0.13713597312608092	2.1943901478937984	0.5449394307023745	0.129623054853193	4.026851470566997	1.8350663278505948	7.292032697216607
16	PyBDEI (psi)					0.14068401022660584	2.2029042524078952	0.558194370222384	0.12416847797085626	3.9464823902295176	1.7914906587137398	7.108128339455612
16	real	0.0		31.0	0.0	0.13542830635455294	2.229957450884843	0.558194370222384	0.129623054853193	3.9949479425892997	1.7914906587137398	7.383980697373472
17	PyBDEI (lambda)					0.04732277671428861	0.17804350417937928	0.10640693780456503	0.7493331341279502	1.6732321017111436	9.397883452267699	21.131473455953408
17	real	0.0		35.0	0.0	0.04589083049938593	0.17804350417937928	0.10629174696085812	0.758180898887686	1.6750454223406799	9.408068157617633	21.790845559297104
17	PyBDEI (mu)					0.04589083049938593	0.18399671510684332	0.10828787681109253	0.7447703329110708	1.6991441750014582	9.234644075111873	21.790845559297104
17	PyBDEI (psi)					0.04699170297600652	0.18081465800619784	0.10629174696085812	0.7465126569456927	1.7011166264186324	9.408068157617633	21.280352416906236
17	PyBDEI (p)					0.046616696190873004	0.1802395766271455	0.10639771828909768	0.758180898887686	1.6940173109484264	9.398697792398687	21.45154165163228
18	PyBDEI (mu)					0.11441676995950904	1.1159320610616923	0.3177800020128739	0.6963399778738526	3.511649738791568	3.1468311211083955	8.739977543098709
18	PyBDEI (p)					0.1153293721222679	1.1684179922470033	0.33971897190088424	0.638127425862025	3.4393663259639755	2.9436095205532355	8.670818037055101
18	PyBDEI (lambda)					0.10650970806229597	1.1752395018773178	0.3188784511964735	0.7014750807454277	3.685540673782333	3.1359911472470765	9.388815519192999
18	real	0.0		21.0	0.0	0.11441676995950904	1.1752395018773178	0.35080214809420524	0.638127425862025	3.350149103310839	2.8506096825024505	8.739977543098709
18	PyBDEI (psi)					0.11366936948982305	1.180495747668316	0.35080214809420524	0.6459183086783694	3.365132608456271	2.8506096825024505	8.797444768878842
19	PyBDEI (psi)					0.06575096002631008	0.728126501888899	0.16749359872269595	0.5574290642050223	4.3471900266134496	5.970377421143179	15.208903407643822
19	real	0.0		19.0	0.0	0.06327962770624318	0.7341348163315163	0.16749359872269595	0.5576676637930279	4.38306193150078	5.970377421143179	15.802874262190702
19	PyBDEI (p)					0.06618725836305951	0.7223288293013611	0.16369884517957348	0.5576676637930279	4.412546884548787	6.108778586086086	15.108648170840702
