	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
12	PyBDEI (forest)					1.017948448796667	0.9478157693402052	1.0850631357913971	1.285250743839989	1.2222100258652162	1.3305232601087358	0.5630380070924933	0.5299758250496718	0.5967512049755429		2.282706900155772			1.7760790344580142			0.9823680179306876		
12	real	15.990387494668546		13.0	0.0	1.0078753755368204			1.251481111615416			0.5541087076859079			0.859900914773923	2.258547996550901			1.8047000275022604			0.992186161376722		
12	PhyloDeep			1	0	1.0970617477360216			1.2365412120009414			0.5350122081280574				2.3112392450397508			1.8691162272705484			0.9115257204653016		
12	PyBDEI					1.0913058802295992	1.039938533660472	1.1689667841106364	1.23742366828093	1.1969486592747298	1.2832719759879532	0.5733887450515432	0.5464116959317459	0.602026812121998		2.1580885201534517			1.7440174901063112			0.9163333746443396		
13	PyBDEI (forest)					0.055764762284845004	0.05238764297338331	0.059270083007438176	0.34555336975641243	0.33233878233134473	0.35789227547606334	0.10891688162970567	0.10305904474781408	0.1149495953824882		3.1726337055005			9.181313172367421			17.93247131391012		
13	PyBDEI					0.0564518649970906	0.0519410793827678	0.061261214727293276	0.3443272268226136	0.3297477142628637	0.36007772445548547	0.10250751990466826	0.09598316181367673	0.10937403715563192		3.359043581805872			9.755381858130967			17.714206608613157		
13	real	134.73986345961492		2.0	0.0	0.05541189898330598			0.3459652947103291			0.10551883235594836			0.82375001633051	3.2787066250248			9.476981290189832			18.046665397648102		
13	PhyloDeep			1	0	0.05628579261253755			0.34873386578806476			0.10191748093720555				3.421727681857936			9.811859465169967			17.766472738224387		
14	PhyloDeep			1	0	0.1431854466612759			0.3331380998520018			0.1332219454257852				2.50062479411536			7.506270808491356			6.983949998533246		
14	PyBDEI					0.16670803957463307	0.1535642375485351	0.18399707199496462	0.2893639290316326	0.2679984693215429	0.30791475475478586	0.12137891975585985	0.11048502618629981	0.13159044684715135		2.383971859476554			8.2386628749983			5.998510944952433		
14	PyBDEI (forest)					0.15634844662587	0.14547001045509683	0.1694394592991791	0.2931566606634744	0.2768874183226238	0.3032729323950376	0.11716777790670298	0.10875900537038152	0.12380575563923356		2.5020245830462517			8.534769694072963			6.395970165235632		
14	real	146.82616640915217		4.0	3.0	0.16455275296236402			0.29335302179221284			0.12340278961128565			0.014676794147326	2.3771992733410996			8.103544523993047			6.077078517359821		
15	real	46.651658968006636		35.0	23.0	0.13900879634992494			1.152667875605596			0.29923404176890217			0.025057708098227	3.8520613122480194			3.34186576530052			7.193789359075621		
15	PyBDEI					0.13726182791795444	0.12193031013698022	0.15025225705385764	1.187994286177708	1.1084219179267616	1.2967878198349334	0.30739715387772226	0.28131294963011366	0.3286049771401442		3.8646886322515313			3.2531205555591587			7.285346663150445		
15	PyBDEI (forest)					0.16160013962455153	0.14908613233912973	0.17337387536811427	1.0431287151448578	0.9565280012961623	1.1232830768304831	0.2949472075353564	0.27334086933580176	0.32502787797639443		3.536662455160944			3.3904372526738578			6.188113465268767		
15	PhyloDeep			1	0	0.14403938212471834			1.1664348547136079			0.3083327917230155				3.7830386064205945			3.24324894025002			6.942545748593514		
16	real	41.49380385901185		3.0	2.0	0.13542830635455294			2.229957450884843			0.558194370222384			0.129623054853193	3.9949479425892997			1.7914906587137398			7.383980697373472		
16	PhyloDeep			1	0	0.15386421628543231			2.0002598116609587			0.5266587818790257				3.79801852828578			1.898762603809959			6.499236951526843		
16	PyBDEI					0.13628728552044791	0.12579583154033533	0.14546300955727476	2.1927897600231785	2.0962165988520183	2.3162245937458397	0.547198057538386	0.5104098087227673	0.582418261487417		4.007305453326383			1.8274918673845069			7.337441612262242		
16	PyBDEI (forest)					0.1482563900730904	0.13020000878482735	0.15018896586892105	2.0617151255216246	2.057157141237117	2.3241918987929733	0.5501380485984577	0.5470000510056406	0.5861486251214696		3.7476323093341564			1.817725573694856			6.745071827979893		
17	real	239.735020256902		24.0	3.0	0.04589083049938593			0.1780435041793793			0.10629174696085814			0.758180898887686	1.67504542234068			9.408068157617631			21.790845559297104		
17	PyBDEI					0.04631878181920565	0.04424396125767774	0.048457745041671094	0.180002060408452	0.17323323388975911	0.18694868235385345	0.1076234483154613	0.1029514128184586	0.11247358222099459		1.6725171254579907			9.291655449180947			21.58951424722831		
17	PyBDEI (forest)					0.04437896453817627	0.041739969566169134	0.04710508343007534	0.1849085544227669	0.176101928479462	0.19493308625289849	0.1078627474483759	0.10174975552960398	0.1141757953734493		1.7142948682191304			9.271041426778131			22.533198113258514		
17	PhyloDeep			1	0	0.046367669011695756			0.17896452571846466			0.10719060779036776				1.6695914820117903			9.329175574372112			21.566751603315677		
18	PyBDEI (forest)					0.11272834347257295	0.10554068580632697	0.1221096577775528	1.1869959629532356	1.1269412559912575	1.2315452393769908	0.3495516523500495	0.3287256570981924	0.3704750358252104		3.3957669917250146			2.8608075323831565			8.870883481431642		
18	PhyloDeep			1	0	0.11704260802121833			1.1517618417442335			0.33731418443122857				3.414507586410301			2.9645951642566617			8.543897106417116		
18	PyBDEI					0.11341977880744353	0.10381670068998614	0.12230560645718841	1.173163043313988	1.1069660941104027	1.2205096466471124	0.34257217867976303	0.3223504391148584	0.3655197640446259		3.4245718605498983			2.9190928576100204			8.816804357357572		
18	real	45.304499677115324		10.0	0.0	0.11441676995950904			1.1752395018773178			0.35080214809420524			0.638127425862025	3.350149103310839			2.8506096825024505			8.739977543098709		
19	PhyloDeep			1	0	0.06655636217370514			0.7342415269443741			0.1729023232454413				4.246568311879134			5.783612280214782			15.024859642870874		
19	real	65.01154616308409		11.0	3.0	0.06327962770624318			0.7341348163315163			0.16749359872269595			0.5576676637930279	4.38306193150078			5.970377421143179			15.802874262190702		
19	PyBDEI (forest)					0.06514033412571077	0.061030727090980584	0.06986291369341706	0.7404746626073595	0.714165857154111	0.7672110797160524	0.17140195265735458	0.16081058646694285	0.1826736892646853		4.320106341423217			5.834239251632536			15.35147176356441		
19	PyBDEI					0.06539697495494885	0.05992451358325078	0.07064132382400105	0.7250488684478176	0.685665915965395	0.7535362648958113	0.16623664168266775	0.15525075064989757	0.17763526311985334		4.3615466548697315			6.015520945790754			15.291227165918412		
20	real	165.20957236055338		4.0	0.0	0.04962716998629897			0.4778842627671261			0.2134527356580541			0.5988352752009151	2.23882941248729			4.684877881359061			20.150252377398896		
20	PyBDEI					0.050010810561530186	0.046821798101547484	0.05325131115568817	0.4755810833336967	0.45860089872568643	0.4934982940487564	0.21421225091290852	0.2034546812423218	0.22468121788371576		2.220139517263426			4.668267084344144			19.995676710131747		
20	PhyloDeep			1	0	0.053142001401607505			0.4520273172141745			0.2038875126500964				2.2170426787732005			4.90466525880945			18.817507312958497		
20	PyBDEI (forest)					0.04978742553718479	0.0464210082235261	0.05322689758768338	0.4692685582114092	0.4451886983118399	0.49277614114343465	0.2081304795846059	0.19612395422607898	0.2204025821129892		2.2546844611514456			4.804678305627483			20.08539283183319		
21	real	110.8754838749253		31.0	5.0	0.029470472137533992			0.5649532010334002			0.11657410659714855			0.23075669136252305	4.84630092843636			8.57823430254331			33.9322694028504		
21	PyBDEI (forest)					0.029761528943283683	0.027732908453613914	0.0314417831860441	0.5527990396056532	0.535050247245999	0.5723809546169931	0.11255595854567944	0.10428704694878707	0.12176941477361418		4.911326301586305			8.884469671093976			33.60042428954817		
21	PhyloDeep			1	0	0.035136773517577394			0.5065402966339693			0.11801691148619879				4.2920992445494175			8.473361888621723			28.460211336699533		
21	PyBDEI					0.02873858822412619	0.027412990511985463	0.03040168680769239	0.5766155936923985	0.5631595318926587	0.6028942187664695	0.11660408803021358	0.10989806703080503	0.12368349951561508		4.945071853252609			8.576028652965302			34.796420485279604		
22	PyBDEI					0.6646268637199765	0.6119975218431886	0.7488569117855951	0.19561281140847386	0.18536592060990043	0.20145954290038817	0.166211343013676	0.15836614846617178	0.1724264220871914		1.176892069227662			6.016436555221863			1.5046036424150986		
22	PyBDEI (forest)					0.6602511462295337	0.5237128116506549	0.7378917276362598	0.1922332671758744	0.18135791392732722	0.20842005363049246	0.16544550331651356	0.15700436179717656	0.1809112239943986		1.1619129158688173			6.044286365927404			1.5145751820510343		
22	real	248.20885262632004		22.0	12.0	0.6634482255057563			0.19008013789532904			0.16482425165047376			0.360060548741338	1.1532291880105903			6.067068346960249			1.5072766216801399		
22	PhyloDeep			1	0	0.49498259883081375			0.22409206690699665			0.1895179137511479				1.1824321114111005			5.276546054179763			2.0202730406322877		
23	real	156.67977108397062		8.0	1.0	0.03154309547182404			0.4675801429899098			0.11602987452985593			0.359062840569089	4.029825464213491			8.61847006257589			31.702659014339694		
23	PyBDEI					0.029982338604129095	0.028090765557628017	0.032696193981309025	0.4803385989417631	0.4584947129857126	0.4979732531712074	0.11356854390479115	0.10531908213207805	0.12153621637626498		4.229503896294112			8.80525509632613			33.352968666102726		
23	PhyloDeep			1	0	0.032972214124766336			0.45479267216439534			0.11272226786166038				4.034630253558636			8.871361612660781			30.328566841644783		
23	PyBDEI (forest)					0.03167678065468375	0.029641938376711637	0.03378850200245403	0.4604147248642706	0.44523318138966117	0.4732690071940212	0.11428812146953962	0.1080382031934976	0.12060729812129328		4.028543989910461			8.749815703870176			31.56886461731203		
24	PyBDEI					0.24385259239095786	0.22915421536852484	0.26334402762280446	0.6861800873940044	0.6468467583047327	0.7093034127726447	0.18080432815593125	0.16946804697050175	0.1923354308639189		3.795152994358749			5.5308410489906485			4.100838093190107		
24	PyBDEI (forest)					0.2312427846167709	0.21436295630105776	0.25167600441412646	0.7165493209621866	0.6868128966404394	0.7494431659669782	0.17887216078662793	0.1661488699793552	0.19213279496170968		4.005929809373411			5.590584893715656			4.324459254619591		
24	PhyloDeep			1	0	0.2446879874108635			0.7019218677144295			0.18259528389012986				3.8441401812808365			5.476592706532958			4.086837325286703		
24	real	36.45636872339684		5.0	1.0	0.24134817264200906			0.6913692453613681			0.17418175049273787			0.7447356683104871	3.9692404250478197			5.741129579712731			4.14339163646081		
25	PyBDEI					0.12069936753426835	0.11476792285282746	0.12714622173470638	0.2029738929542998	0.19198577512046333	0.21476135343156832	0.17550858749667986	0.16500800516971828	0.18544689039083911		1.1564898096974288			5.697726899083599			8.285047555995561		
25	PyBDEI (forest)					0.12119143582758694	0.11483035507827093	0.1279650098117516	0.2004249016662007	0.19049166714658086	0.20911468931071578	0.17630033185376212	0.16692027157222972	0.1846739690429739		1.1368379149305825			5.6721390679484465			8.25140813929006		
25	real	340.67360281631335		38.0	23.0	0.12219550955630805			0.19999607051410215			0.17535788562123167			0.305363243821061	1.1405022922441497			5.70262350311393			8.183606775985472		
25	PhyloDeep			1	0	0.12435683522082286			0.19883532267176085			0.17446205695890138				1.139705252464157			5.7319053634428565			8.041375435650806		
26	real	121.95493685955284		8.0	0.0	0.08084575140384304			0.469349431171597			0.2023409901590217			0.25997681994349	2.3195963941993702			4.94215234992223			12.369233789476098		
26	PyBDEI					0.08266341417058462	0.07797704330283439	0.08744747502690124	0.4554264852894157	0.4400404313122805	0.4832915149510518	0.20008160201201247	0.189037026814939	0.21285437071090296		2.2762037124336545			4.997960781721262			12.097250156355688		
26	PyBDEI (forest)					0.0797307617260409	0.07443282140662097	0.08471494791748559	0.4616176172309727	0.4389572118168112	0.4799193439791842	0.19020807125183495	0.18039751339904347	0.2025688039014026		2.4269086700311058			5.257400453191088			12.542210538964277		
26	PhyloDeep			1	0	0.08163331395896771			0.46965013942497374			0.20284411616225562				2.3153254248168538			4.929894043365286			12.249900824835331		
27	PyBDEI					0.10227491313018104	0.09502176190429422	0.1094855655669775	0.24292882352920664	0.23302045737227461	0.2614749235419714	0.12096776557211425	0.11333757651999271	0.128038866242389		2.0082112154447134			8.26666505139219			9.777568803477214		
27	real	170.22212757304143		20.0	12.0	0.101451189975639			0.24421598767049899			0.12146732181143023			0.05227976387643	2.0105488787315795			8.23266690239892			9.856956830571681		
27	PyBDEI (forest)					0.0969309335963893	0.0882500065007784	0.10542007876568284	0.2564404908767297	0.2431002874209799	0.2779793030445037	0.12758987527747812	0.11933040612599748	0.13712042053863263		2.009881194091864			7.837612489433304			10.316624042474409		
27	PhyloDeep			1	0	0.09725363619265152			0.2675145430069718			0.12945095163304096				2.066532069731742			7.724933555025027			10.282391889379658		
28	real	54.13301747404538		14.0	2.0	0.1607901496667319			0.5863806506924703			0.19572555574451792			0.611773575618017	2.9959329963935697			5.109194842728191			6.2192864554992315		
28	PyBDEI (forest)					0.15523934052779367	0.1424215030926358	0.1689223991638552	0.5999555517334014	0.5668257701207191	0.6400597143743681	0.19544106063892994	0.1822285894499974	0.20929433959420132		3.069751820687245			5.116632076856472			6.441666117622822		
28	PyBDEI					0.16078709904669328	0.15061285314959047	0.1706696850179182	0.5879261701061835	0.56271384748338	0.6188728604352314	0.2023505327191227	0.1905370896703146	0.21392160788541537		2.905483678277576			4.941919285125248			6.219404454269031		
28	PhyloDeep			1	0	0.16702191796112487			0.5789183620095582			0.19963597843496866				2.8998698859190886			5.00911713329143			5.987238155370451		
