	type	loglk	diff with max	diff with real
0	PyBDEI	-16053.999303027906	0.0	1.2295672931650188
0	PhyloDeep	-16055.198661965489	1.1993589375833835	0.03020835558163526
0	PyBDEI (forest)	-16054.002249135918	0.002946108012110926	1.2266211851529079
0	PyBDEI (subtrees)	-16054.340062147026	0.3407591191207757	0.8888081740442431
0	real	-16055.22887032107	1.2295672931650188	0.0
1	PyBDEI	-25237.883444569103	0.0	0.7838998545557843
1	PhyloDeep	-25239.521011393943	1.637566824840178	-0.8536669702843938
1	PyBDEI (forest)	-25237.928849577223	0.04540500812072423	0.73849484643506
1	PyBDEI (subtrees)	-25238.03139972251	0.14795515340665588	0.6359447011491284
1	real	-25238.66734442366	0.7838998545557843	0.0
2	PyBDEI	-47816.82565413724	0.0	2.1756709041292197
2	PhyloDeep	-47821.36433519555	4.538681058307702	-2.3630101541784825
2	PyBDEI (forest)	-47816.979089415094	0.15343527785444167	2.022235626274778
2	PyBDEI (subtrees)	-47817.00577160696	0.18011746971751563	1.995553434411704
2	real	-47819.00132504137	2.1756709041292197	0.0
3	PyBDEI	-30141.856826904506	0.0	7.418073322689452
3	PhyloDeep	-30142.226835077676	0.37000817316948087	7.048065149519971
3	PyBDEI (forest)	-30141.856903855507	7.695100066484883e-05	7.417996371688787
3	PyBDEI (subtrees)	-30142.69937105382	0.8425441493127437	6.575529173376708
3	real	-30149.274900227196	7.418073322689452	0.0
4	PyBDEI	-55201.38710886622	0.0	4.737074902295717
4	PhyloDeep	-55203.66979217276	2.282683306541003	2.454391595754714
4	PyBDEI (forest)	-55201.399318961325	0.01221009510481963	4.724864807190897
4	PyBDEI (subtrees)	-55201.90611568344	0.5190068172232714	4.218068085072446
4	real	-55206.124183768516	4.737074902295717	0.0
5	PyBDEI	-30635.9447880797	0.0	0.3116467337240465
5	PhyloDeep	-30651.940612570936	15.995824491234089	-15.684177757510042
5	PyBDEI (forest)	-30635.95043201609	0.005643936387059512	0.306002797336987
5	PyBDEI (subtrees)	-30636.53073416831	0.5859460886094894	-0.2742993548854429
5	real	-30636.256434813426	0.3116467337240465	0.0
6	PyBDEI	-33421.24230256174	0.0	1.8049524741363712
6	PhyloDeep	-33533.465428100004	112.22312553826487	-110.4181730641285
6	PyBDEI (forest)	-33421.38018822343	0.13788566169387195	1.6670668124424992
6	PyBDEI (subtrees)	-33421.5960083711	0.35370580936432816	1.451246664772043
6	real	-33423.047255035875	1.8049524741363712	0.0
7	PyBDEI	-55775.58411866	0.0	2.0814396978603327
7	PhyloDeep	-55781.45737144321	5.8732527832107735	-3.791813085350441
7	PyBDEI (forest)	-55775.58683948127	0.00272082127048634	2.0787188765898463
7	PyBDEI (subtrees)	-55775.81516586452	0.231047204521019	1.8503924933393137
7	real	-55777.66555835786	2.0814396978603327	0.0
8	PyBDEI	-58332.56538864958	0.00024530071823392063	3.377125434104528
8	PhyloDeep	-58333.85743171288	1.2922883640203509	2.085082370802411
8	PyBDEI (forest)	-58332.56514334886	0.0	3.3773707348227617
8	PyBDEI (subtrees)	-58333.46098014862	0.8958367997620371	2.4815339350607246
8	real	-58335.94251408368	3.3773707348227617	0.0
9	PyBDEI	-63420.97323791787	0.0	0.6550432879594155
9	PhyloDeep	-63425.00617990049	4.032941982623015	-3.3778986946635996
9	PyBDEI (forest)	-63420.98843138076	0.01519346289569512	0.6398498250637203
9	PyBDEI (subtrees)	-63421.37982030318	0.4065823853088659	0.24846090265054954
9	real	-63421.62828120583	0.6550432879594155	0.0
10	PyBDEI	-69101.366357297	0.0	1.6667398584395414
10	PhyloDeep	-69121.64937323995	20.283015942957718	-18.616276084518177
10	PyBDEI (forest)	-69101.41514564588	0.04878834888222627	1.6179515095573151
10	PyBDEI (subtrees)	-69102.72784535147	1.3614880544773769	0.30525180396216456
10	real	-69103.03309715544	1.6667398584395414	0.0
11	PyBDEI	-40092.738389757105	0.0	1.0510395959863672
11	PhyloDeep	-40106.91607723264	14.177687475537823	-13.126647879551456
11	PyBDEI (forest)	-40092.73865691006	0.0002671529582585208	1.0507724430281087
11	PyBDEI (subtrees)	-40093.02482949903	0.2864397419252782	0.764599854061089
11	real	-40093.78942935309	1.0510395959863672	0.0
12	PyBDEI	-22819.41214681452	0.00044455767783802	18.29667463075748
12	PhyloDeep	-22829.573922858042	10.162220601199806	8.134898587235512
12	PyBDEI (forest)	-22819.411702256843	0.0	18.297119188435317
12	PyBDEI (subtrees)	-22819.915459902804	0.5037576459617412	17.793361542473576
