	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
4	PyBDEI	0.04710872653877372	0.2703697919918988	0.14156555915095329		1.9098557135892047	7.063865010653378	21.227489543300038	0.007196364149154753	0.030788363280865844	-0.006948428270057889		0.03800083764550506	0.006997046747484899	-0.0071449465122264445
4	PhyloDeep	0.047239582308722126	0.2659652389505324	0.13637820096315995		1.9502034568000937	7.332550165184622	21.1686884415014	0.009994093262284105	0.013995947282595381	-0.04333661641701702		0.059929714760154344	0.04529975450163952	-0.009895199713498422
5	PyBDEI (forest)	0.698959808019346	0.3142607774673851	0.2202535795444187		1.4268134852446648	4.540221330651878	1.4306974285599006	-0.24355212150768285	0.09378533423713006	0.0699841533385973		0.02224442373680691	-0.06540671945489135	0.32196814669255075
5	PyBDEI	0.8840182429196568	0.28871527590723456	0.20712692655771428		1.393905083735148	4.8279575071151255	1.1311983751571562	-0.04327299405093771	0.004874159296998576	0.0062153341838739554		-0.0013328905268207628	-0.006176942422483542	0.0452302420459132
5	PhyloDeep	0.5826527102233092	0.35051719856157315	0.2519146459744329		1.3914125445375956	3.9695984968714018	1.7162882493359328	-0.369425249507305	0.2199758884142713	0.22379250200647385		-0.0031186770518244747	-0.18286801205233202	0.585854808202608
6	PyBDEI (forest)	0.4864202979946182	0.6235046298575161	0.13376752404292427		4.661106156509568	7.475656046972305	2.055835260417245	-0.022434982583572568	0.014247581828182112	-0.004204399371287562		0.018529888249977793	0.004222150980214237	0.022949862345591255
6	PyBDEI	0.4466298915288259	0.6472005010928172	0.14416599254529566		4.48927302248117	6.936448619710427	2.2389903115910434	-0.10240226509646103	0.052793374351339996	0.07320414401040021		-0.019018534146530847	-0.06821082868432439	0.11408480783150098
6	PhyloDeep	0.3879278767085387	0.7685455053281195	0.17895062636537565		4.294734927381187	5.588133555667093	2.5777987611633506	-0.22037644581374752	0.25018385265574455	0.33214879874140474		-0.061528371427500776	-0.2493331068235127	0.28267032804539854
7	PyBDEI (forest)	0.05130757187328384	0.6214831358444176	0.21271316211764896		2.9216957223393774	4.7011665382836645	19.490300622094065	0.0072401008146262364	-0.014880475970288572	-0.010655690775218664		-0.004270288064203477	0.010770457439198107	-0.007188058546091244
7	PyBDEI	0.0520702454435917	0.6364001888170095	0.2220394489963209		2.866158206092261	4.503704204456792	19.204825932370767	0.0222124601720868	0.008764703241725534	0.03272154436036987		-0.023197774123597862	-0.031684769761084634	-0.02172978811894625
