	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
11	PyBDEI (p)					0.1816140140848139	0.5201450891530738	0.1177818759563839	0.9794623100045532	4.416172564153164	8.490270611501488	5.506183016983474
11	PyBDEI (psi)					0.1828225245651817	0.5181995030469665	0.1162934665687773	0.9822268308420976	4.455964022196355	8.59893534439089	5.469785533146763
11	PyBDEI (lambda)					0.1841510516494395	0.5313673599444807	0.1251802674605059	0.9122760252846572	4.244817260133476	7.988479496702602	5.430324676633707
11	real	62.25031600000001		1.0	0.0	0.1769383037796349	0.5313673599444807	0.1162934665687773	0.9794623100045532	4.569193572282273	8.598935344390894	5.651687501454941
12	PyBDEI (lambda)					1.0876744461530905	1.251481111615416	0.5807088118342287	0.8485495806709402	2.1550923390717696	1.7220334522587952	0.91939274985895
12	PyBDEI (psi)					1.077311503619098	1.21641240024697	0.5541087076859079	0.8998260816623505	2.195259492179797	1.8047000275022604	0.928236630390208
12	PyBDEI (p)					1.0908109198715543	1.2379329364381997	0.5736094713900333	0.859900914773923	2.1581459131738274	1.7433463878772617	0.9167491650319676
12	PyBDEI (mu)					1.0078753755368204	1.219020664515218	0.542547864199934	0.9541086900505188	2.246844462861985	1.84315535270726	0.992186161376722
12	real	21.32052862		1.0	0.0	1.0078753755368204	1.251481111615416	0.5541087076859079	0.859900914773923	2.258547996550901	1.8047000275022604	0.992186161376722
13	PyBDEI (p)					0.0563436257683136	0.3448124434223262	0.1024901332492119	0.82375001633051	3.3643476936837486	9.757036782930411	17.748236581579334
13	PyBDEI (lambda)					0.0560288221437235	0.3459652947103291	0.1023317328615455	0.8264486615254082	3.3808212275503906	9.772139804893133	17.847956850401523
13	real	221.7939959999999		1.0	0.0	0.0554118989833059	0.3459652947103291	0.1055188323559483	0.82375001633051	3.278706625024802	9.476981290189837	18.046665397648127
13	PyBDEI (mu)					0.0554118989833059	0.3457122902637765	0.1015771467622303	0.8354327157924841	3.4034455710103035	9.844734094970978	18.046665397648106
13	PyBDEI (psi)					0.0565926985681301	0.348157398147559	0.1055188323559483	0.8066725706269307	3.299481148285589	9.476981290189832	17.67012397891101
14	real	195.768164		1.0	0.0	0.164552752962364	0.2933530217922129	0.1234027896112856	0.014676794147326	2.377199273341101	8.103544523993051	6.077078517359822
