cores	s	iterations	total
1	0.22374790411669754	492.92	110.98185007572174
2	0.13802566712762504	492.92	68.79608971595763
3	0.11883806145293052	492.92	58.74183023452759
4	0.12001339900506248	492.92	58.76462022304535
