R_naught,Infectious_period,Incubation_period
2.370861388543883,1.6324036318149804,1.3499836605808795
3.39768984769629,3.557357230153503,4.227249073802112
3.864439312875432,7.9172060138164815,30.09106689158494
3.8910326503251627,2.351800579453444,7.607671561517613
1.9502034568000937,7.332550165184622,21.168688441501402
1.3975774485002177,3.9403294478513557,1.7552972496650454
4.294734927381187,5.588133555667093,2.5777987611633506
2.8554419357512844,4.762157068420812,18.248212420448745
1.9467788693766388,4.758325028486422,17.410366478349346
1.155979427862844,6.111575652534436,24.483563438191016
2.2849451335305506,9.111062088433036,12.298029887463633
4.210784646243502,7.9128799625757384,5.444837378367768
2.3253089826235938,1.8574084728278555,0.9247560538084233
3.4217276818579356,9.811859465169968,17.766472738224383
2.552949277661651,7.688805233193449,7.123346717377385
3.7147714250250763,3.099216417772963,6.868672264654254
3.7980185282857795,1.898762603809959,6.499236951526842
1.6680935858165853,9.377491355451951,21.517468749610476
3.414507586410301,2.9645951642566617,8.543897106417116
4.246568311879134,5.783612280214781,15.024859642870874
2.2170426787732005,4.90466525880945,18.817507312958497
4.2920992445494175,8.473361888621723,28.460211336699537
1.1807762903861618,5.161713044016871,2.120737697488066
4.012066922730864,8.884276716497189,30.61708516773754
3.844140181280836,5.476592706532957,4.086837325286703
1.1397052524641573,5.731905363442856,8.041375435650806
2.3179386344085864,4.932258385990255,12.224348229051861
2.0665320697317426,7.724933555025027,10.282391889379658
2.899869885919089,5.00911713329143,5.987238155370451
2.967211614742323,7.7766484696142095,30.648274013841593
1.7621977365546688,1.4216654156104898,5.2208264543124505
4.398875788927666,3.335957349357544,6.752797973693359
1.7583589979079661,1.6554568701869177,4.232517311012446
3.194473263134525,2.1884511834146148,5.962819748599085
1.0630566788952223,3.7340634799648913,5.536126970227419
1.5038499402445415,8.200841452758795,9.841666746440076
3.920475968733817,8.590693621135953,18.778746226637562
1.391372869476668,5.251224424850327,4.048869362954576
3.159793909056509,4.991730885140297,19.38186038378964
1.5942616165048586,9.451130023120786,39.05997625792446
4.068046292413703,8.194899096377906,9.632726096622665
3.8128851430451602,1.2820596604027774,3.9792058303925892
4.125642999677238,1.5174258292864369,3.578169336886259
4.1917095037409196,9.669114928184753,32.89875782389546
2.532987530870635,1.1690206181650509,0.9855230210076664
4.34073249481348,7.282301951423216,3.303192943463839
2.2518634526202517,3.7413992833083176,1.9422541748704296
2.2383282058816074,5.522869684911254,4.804512246191927
3.773045027574632,4.484360073782797,15.912387994805147
1.384492897478208,8.38289631477859,21.76804310401059
1.198820108307562,1.891949491874318,7.253844729647755
3.110884764257265,2.0873650314825825,4.4411328504445535
4.0530667334640125,4.2738746195345705,6.050640061685751
4.217251239038745,7.287145336013288,7.1886619438679915
2.069953515228244,6.870355291303756,11.767146041880887
4.300330714832144,1.8727410056442333,3.8991579941347982
1.559658771761601,8.154012153374904,19.483594053069883
3.993840701396575,4.92528180356385,7.909659122278164
1.8222719023514937,4.2964369940730585,1.6001566481518645
3.519746561855497,1.9778143287388343,5.462294055646505
1.717186827024311,6.410027181718834,7.909927443231229
4.120043064676406,4.777544762099126,14.048052326305221
3.3085750639908618,2.497248455837685,6.352282834299522
4.050303364295861,10.042350708592107,36.57011320209103
1.0843319914962621,5.984920637611,26.120160165123146
3.9939915135541635,2.0704417567734326,1.8884758865972355
3.062769941271439,5.91535443619116,20.094093012928372
1.2631034924246158,2.86848873741647,11.406331838709715
3.7975256740068266,3.964699098219714,12.57389404038239
3.635493032712425,3.3079715946509256,11.490162864329074
3.733963460874169,2.5429310734857187,3.6812554318205057
3.556524611541888,7.856694405436222,7.349290624164379
1.1044785289738657,4.627887221549474,14.89304420877518
2.437937937184452,7.48492623889598,22.470869376817515
3.605312531359419,2.9701500010257154,6.678769012086891
4.035153322573783,7.832387648028178,17.309823584846114
3.0033109280103814,2.2913046736312213,5.824248086480645
3.7397935747767077,1.1321416464038523,3.3163193221554605
4.171680062170907,9.661083625072338,34.17767128502129
1.109613841642108,4.802123751177767,7.34638894554163
3.9516179493793517,4.9542070581919155,18.5881786008751
3.376018804577563,8.548305742710511,28.86308217272621
4.138198008297076,6.253866973947973,22.327191511828644
3.7963712500508078,4.744542003703134,14.963456817716281
3.477362030678613,7.588381435804015,17.391578005635925
3.8786964741214858,6.527744579632218,4.99390290508195
1.4566599821382327,3.971923167261334,13.154286662806207
1.2186678764554526,8.83262735128879,26.275953569374124
4.189896159403891,2.0504182982841086,2.059972237593054
4.33314592219316,4.982489023252055,15.798672648455932
4.0665356263068215,2.763563634557072,3.4979053703135268
1.2559756616259123,9.214494796755076,39.18143171376294
3.29179054157033,7.549170155118969,27.176438366327464
3.1434430683891157,9.614149696473268,34.09950080706011
4.1791777690627425,3.788483182307394,9.50656529239447
3.9305931751400816,10.172887163349227,41.14207206636317
2.9561600506412264,2.0495634945792194,3.836143083445161
2.2435008714808253,6.857490664145384,25.479219580024083
1.1181553248882736,10.219884498670185,42.4127576348315
1.4954094781154907,8.054419700828278,8.996532244330513
