	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
0	PyBDEI (p)	0.7279139103475583	1.4488042558633725	0.6242013546803918	0.447322979907068	2.321052726015309	1.602047147930378	1.3737888310480677	-0.002809701309016371	0.01952287142530474	0.028414390664706274	0.0	-0.008645852605830132	-0.02762932036213624	0.0028176179739258654
0	PyBDEI (mu)	0.7299648936648243	1.4118760725434358	0.6011995388459844	0.4669605552241894	2.348431729095406	1.6633412625690327	1.36992889477116	0.0	-0.006463473757278911	-0.009482672900040557	0.019637575317121403	0.0030481033094103627	0.009573454840819265	0.0
0	PyBDEI (psi)	0.7131110606183487	1.429702162096486	0.6069550954814479	0.4689159313518347	2.355532019979864	1.6475683414549502	1.4023061136267971	-0.02308855287801595	0.006080737052331147	0.0	0.021592951444766695	0.006080737052331294	0.0	0.023634233119117838
0	PyBDEI (lambda)	0.7057813547720982	1.4210610634344352	0.5960588102486302	0.479854892419473	2.384095392938957	1.6776868033925654	1.4168693933872865	-0.03312972870696758	0.0	-0.01795237458905355	0.032531912512405003	0.018280553941099453	0.018280553941099547	0.03426491608089451
1	PyBDEI (p)	0.2489102799374583	0.9177138832990448	0.2773320651203836	0.6225767763228239	3.309079615084125	3.605785719606286	4.017511853071163	-0.013718733844269996	0.011721659541255182	0.02986108718953499	0.0	-0.017613470276639093	-0.028995257283703474	0.013909555331758399
1	PyBDEI (mu)	0.2523725112488919	0.8863457014606139	0.2643477809105065	0.655763290919037	3.3529530620901307	3.782895383330433	3.96239667724268	0.0	-0.02285978197762375	-0.01835551209536012	0.033186514596213024	-0.004588494040116634	0.018698736988316905	0.0
1	PyBDEI (lambda)	0.2388644448218063	0.907081384137969	0.2618278159461052	0.6750717143467021	3.464419473004668	3.8193039054560978	4.186474888491684	-0.053524317526657275	0.0	-0.027713297163564556	0.05249493802387817	0.0285032152375601	0.028503215237560123	0.056551180889070844
1	PyBDEI (psi)	0.2431025286794313	0.907519244043984	0.2692907505391973	0.6558775770208335	3.3700349611966622	3.71345840136623	4.113490737558951	-0.03673134813132813	0.0004827129226459472	0.0	0.03330080069800956	0.00048271292264588444	0.0	0.03813198743680889
2	PyBDEI (mu)	0.030297118608495	0.5151569436634953	0.1275443478933536	0.9897413896655868	4.039041730757401	7.840410151582342	33.006439091525	0.0	0.03203400407212765	-0.0010354042321807492	-0.007295176966024219	0.03310368399882078	0.0010364774052720924	-1.0763698770864138e-15
2	PyBDEI (p)	0.0304033451133244	0.5111355422449609	0.1266243155873787	0.997036566631611	4.036630246520426	7.897377335160693	32.891117614612206	0.003506158661557229	0.023977773715534993	-0.008241366047125618	0.0	0.03248687599949933	0.008309850567448174	-0.003493908464134906
