node	GIN	LBR	SLE
root	0.9955216845417907	0.000764459116419588	0.0037138563417896415
n0	0.9999824653098635	2.993213383657602e-06	1.4541476752829347e-05
n34	0.9999789616250041	3.59129593180383e-06	1.744707906411887e-05
n00	0.9999826996296061	2.953214445341866e-06	1.4347155948675097e-05
510	1.0	0.0	0.0
n3434	0.9999999691514696	5.256709679707272e-09	2.5591820742043485e-08
n769	0.999999981862433	3.2054326078063824e-09	1.493213438756689e-08
n1	0.9999824659246566	2.9931084370740233e-06	1.4540966906361082e-05
n22	0.9999998420181485	2.696787849115313e-08	1.3101397305164523e-07
n35	0.9999999762596549	4.045660908760591e-09	1.9694684308898444e-08
n49	0.9999946267953177	2.69348152057813e-07	5.103856530264161e-06
n769769	0.9999998554347821	2.4678961092217784e-08	1.1988625680406698e-07
n776776	0.9999999828784844	3.04253045906519e-09	1.4078985116942376e-08
n11	0.9999999938656355	1.0471506480232388e-09	5.087213917312695e-09
149	1.0	0.0	0.0
n3	0.9999998848180202	1.966183841987817e-08	9.552014147989849e-08
n3333	0.9999998913181135	1.8552256997481932e-08	9.012962955525612e-08
n3535	0.9999985698180259	2.4413074191049307e-07	1.1860512321837084e-06
n4040	0.9999848977478788	2.5779899807551436e-06	1.2524262140529321e-05
n4949	0.9999997074254596	3.2028761200274596e-08	2.605457791143908e-07
n50	0.9995851198525848	7.895842486753282e-07	0.000414090563166514
n770	0.9999999147691618	1.4549112614035714e-08	7.068172554305018e-08
n776	0.9999989595940245	1.7759979984674383e-07	8.628061756327217e-07
n777	0.9999993316380702	2.2667712456603878e-07	4.41684805323674e-07
378	1.0	0.0	0.0
n2	0.9999999999629617	6.3225115724740776e-12	3.0715703537570857e-11
472	1.0	0.0	0.0
n33	0.9999999978423034	3.6832395826282955e-10	1.7893726849008296e-09
n5	0.9999998659190676	2.2887934641119468e-08	1.1119299774581874e-07
508	1.0	0.0	0.0
509	1.0	0.0	0.0
n36	0.9999984250044657	2.6885548379825117e-07	1.3061400504733911e-06
n39	0.9999999718663615	4.802479077308475e-09	2.3331159451605277e-08
n41	0.9999838128154596	2.7631909475408614e-06	1.342399359283833e-05
n42	0.9999999808980942	3.260740826685658e-09	1.584116493948247e-08
387	1.0	0.0	0.0
443	1.0	0.0	0.0
n5050	0.002185892200645538	8.195968641662145e-09	0.9978140996033859
377	1.0	0.0	0.0
n770770	0.9999999069995875	1.5875397347347425e-08	7.712501522136776e-08
n772	0.9999999975407503	4.197997911209205e-10	2.039449952857719e-09
390	1.0	0.0	0.0
388	1.0	0.0	0.0
n777777	0.99998465675889	1.5152574753346607e-05	1.9066635661995915e-07
374	1.0	0.0	0.0
461	1.0	0.0	0.0
482	1.0	0.0	0.0
n4	0.9999999999672681	5.587420701514131e-12	2.7144522527107603e-11
463	1.0	0.0	0.0
n55	0.9999999976330435	4.0404512468251765e-10	1.9629114658064862e-09
492	1.0	0.0	0.0
n3636	0.9999995796707607	7.175120202314665e-08	3.48578037220095e-07
381	1.0	0.0	0.0
n3939	0.9999999755591382	4.172113302576482e-09	2.02687485111721e-08
n40	0.9999994332650174	9.674301193544861e-08	4.699919707391645e-07
391	1.0	0.0	0.0
n4141	0.9999999999922812	1.3176337379158399e-12	6.401261082637446e-12
n4242	0.9999999981723698	3.119808329059959e-10	1.5156493860236204e-09
n4444	0.999999999460871	9.203059555930632e-11	4.47098349631324e-10
n51	0.0021775017678156566	3.4109689625075904e-10	0.9978224978910875
n765	0.0011986055804426674	1.5077298497880252e-07	0.9988012436465724
n771	0.9999993656499532	1.0828506451136216e-07	5.260649823527539e-07
399	1.0	0.0	0.0
n772772	0.999999999693223	5.236758408646552e-11	2.54409528437019e-10
n773773	0.9999999988953687	1.885632002625401e-10	9.160681306712729e-10
n778	0.9999991206874509	7.494005169820602e-07	1.2991203211699589e-07
n779779	0.9936609368524011	0.0063237783365509646	1.528481104800913e-05
467	1.0	0.0	0.0
n44	0.9999999997392806	4.450543802218075e-11	2.1621405108165567e-10
n6	0.9999999999844535	2.653806531847554e-12	1.2892621303390492e-11
473	1.0	0.0	0.0
385	1.0	0.0	0.0
n37	0.9999999732160363	4.572086423018332e-09	2.2211877277608068e-08
441	1.0	0.0	0.0
393	1.0	0.0	0.0
395	1.0	0.0	0.0
394	1.0	0.0	0.0
379	1.0	0.0	0.0
380	1.0	0.0	0.0
n43	0.999999452673044	9.343001554170103e-08	4.5389694047785303e-07
n4343	0.9999999943632272	9.622105701842174e-10	4.674562361028845e-09
