node	GIN	LBR	SLE
root	0.9951419794870121	0.0010552754711548704	0.0038027450418330368
n0	0.9999858293356251	3.0781991154667527e-06	1.1092465259501391e-05
n34	0.9999884019007094	2.519391381757772e-06	9.078707908888312e-06
n00	0.9999860583823552	3.0284448185977887e-06	1.09131728262588e-05
510	1.0	0.0	0.0
n3434	0.9999999913339424	1.8745928999583344e-09	6.7914647402235866e-09
n769	0.9999999842423078	6.962101094293798e-09	8.79559114783879e-09
n1	0.9999858295620777	3.0781499245073105e-06	1.1092287997735662e-05
n22	0.9999998556688129	3.135210315135778e-08	1.1297908390172676e-07
n35	0.9999999581510998	9.052186677499103e-09	3.2796713462610714e-08
n757757	0.9999999842077143	3.422834059396614e-09	1.2369451536982496e-08
n769769	0.9999854835488384	1.4442089830384215e-05	7.436133121490249e-08
n777777	0.9999999898920593	4.375513617854702e-09	5.73242700953495e-09
n11	0.9999999922468543	1.6841642304320885e-09	6.068981432509925e-09
149	1.0	0.0	0.0
n3	0.9999995169537281	1.0492892666740841e-07	3.78117345192642e-07
n3232	0.999999827011623	3.757711376125427e-08	1.3541126309552707e-07
n3535	0.9999908172345826	2.6951950151570567e-07	8.913245915901074e-06
n756	0.9999999905066653	2.0621737489632917e-09	7.431160873729707e-09
n758	0.9999895540735215	2.269098576890069e-06	8.176827901558986e-06
n766	0.9999999620643558	8.240507293358452e-09	2.9695136940378452e-08
389	0.0	1.0	0.0
n770	0.999999895759561	1.0370378825679683e-07	5.366506859163519e-10
378	1.0	0.0	0.0
n778	0.9999999959986221	8.712531726479067e-10	3.130124660714874e-09
n2	0.9999999999681934	6.909104566002369e-12	2.4897350607895634e-11
482	1.0	0.0	0.0
n33	0.9999999632487043	7.983239368897949e-09	2.876805636047061e-08
n5	0.9999999971026032	6.293822029806039e-10	2.2680145059111386e-09
492	1.0	0.0	0.0
n3333	0.999999872939322	2.7600545414810372e-08	9.946013258307242e-08
n36	0.9999996702808656	3.07999569339298e-08	2.9891917755297007e-07
n3636	0.9990039953245163	1.5043364031503547e-06	0.0009945003390806008
n756756	0.9999999998954605	2.2708419567237063e-11	8.183108657870921e-11
395	1.0	0.0	0.0
