node	GIN	LBR	SLE
root	0.996193878374738	0.0010959920818350423	0.002710129543426962
n0	0.9999881346403581	3.4166906449137984e-06	8.448668997067588e-06
n34	0.9999957636480886	1.2198918753710394e-06	3.0164600360649015e-06
n00	0.9999883275378998	3.361144816825232e-06	8.311317283271612e-06
510	1.0	0.0	0.0
n3434	0.9999999909591488	2.6021846910659444e-09	6.438666483866378e-09
n769	0.9999999840977847	1.0152326538376395e-08	5.749888841915854e-09
n1	0.9999881331038808	3.417133081182346e-06	8.44976303796764e-06
n22	0.9999997360470442	7.600659564968207e-08	1.8794636010065606e-07
n35	0.9999999827876497	4.955239295125387e-09	1.2257111029707824e-08
n4545	0.999999214145674	2.2614692360297187e-07	5.59707402345999e-07
n769769	0.9999878601721108	1.2083651175219404e-05	5.617671396603768e-08
n778	0.9999999884486502	7.199537583626012e-09	4.351812150198517e-09
n11	0.999999996290325	1.0682197867344956e-09	2.6414552446370082e-09
149	1.0	0.0	0.0
n3	0.9999970930616722	8.370676715179117e-07	2.0698706563159384e-06
n55	0.999999721951243	8.006555329627327e-08	1.9798320373207017e-07
n3535	0.9999909010952454	2.6200758105434515e-06	6.4788289441526e-06
n4343	0.9999999406990356	1.7076014148467126e-08	4.2224950181066514e-08
n46	0.9999999962349954	1.0841516866511592e-09	2.6808528504595414e-09
n49	0.9999982150768242	2.2819499390530242e-07	1.5567281819712678e-06
n770	0.9999958451841449	4.135471590190758e-06	1.9344264939643158e-08
389	0.0	1.0	0.0
390	1.0	0.0	0.0
n778778	0.9999997651443492	6.779817043507631e-08	1.670574803697542e-07
n2	0.99999999298212	2.0208342564461578e-09	4.997045843512672e-09
461	1.0	0.0	0.0
n33	0.9999999975812279	6.964977277802653e-10	1.722274384709356e-09
n5	0.9999999352271964	1.865165812154659e-08	4.612114545940103e-08
492	1.0	0.0	0.0
n6	0.9999996054574307	1.1361053882393451e-07	2.80932030442969e-07
n36	0.999988120858081	3.4206593097747376e-06	8.458482609106647e-06
n37	0.9999988494497636	3.313067903614278e-07	8.192434459640693e-07
n4444	0.9999999991395898	2.4775949087068714e-10	6.126507060669793e-10
n45	0.9999999405345645	1.712337443405539e-08	4.234206097402037e-08
n4646	0.9999999996623948	9.721506263070891e-11	2.403900400865808e-10
n4848	0.9999990954061767	2.604823907198082e-07	6.441114325864207e-07
n4949	0.9999998703629283	2.8471994226572866e-08	1.0116507760013483e-07
n50	0.9998422452296872	4.682641855722968e-07	0.0001572865061271611
374	1.0	0.0	0.0
n770770	0.9999999990582581	7.83916905861885e-10	1.5782500221737695e-10
375	1.0	0.0	0.0
n779	0.9999999992932992	2.0349886607086123e-10	5.032019625345905e-10
482	1.0	0.0	0.0
472	1.0	0.0	0.0
n4	0.9999999999876336	3.561005192428021e-12	8.805524816687802e-12
467	1.0	0.0	0.0
508	1.0	0.0	0.0
509	1.0	0.0	0.0
n66	0.9999999718481901	8.106456796033416e-09	2.0045353105565523e-08
n7	0.999999999999249	2.1614972388289923e-13	5.34881783089386e-13
391	1.0	0.0	0.0
n3636	0.9999999999935228	1.865139165337085e-12	4.6120486547923855e-12
n3737	0.9999999954914519	1.2982593595716156e-09	3.2102887785980182e-09
408	1.0	0.0	0.0
441	1.0	0.0	0.0
395	1.0	0.0	0.0
393	1.0	0.0	0.0
394	1.0	0.0	0.0
384	1.0	0.0	0.0
n47	0.999999998882693	3.217341949128597e-10	7.95572797377417e-10
383	1.0	0.0	0.0
385	1.0	0.0	0.0
387	1.0	0.0	0.0
443	1.0	0.0	0.0
n5050	0.0003861917103873311	7.582880411199151e-07	0.9996130500015715
377	1.0	0.0	0.0
n771	0.9999999755337168	7.06662243174364e-09	1.739966081394568e-08
n771771	0.9999999999634949	1.0914914642952492e-11	2.5590184741655726e-11
n779779	0.9999999999947512	1.5114369111883635e-12	3.7374113912244424e-12
396	1.0	0.0	0.0
449	1.0	0.0	0.0
n44	0.9999999990229287	2.8135265988099764e-10	6.9571867912218e-10
476	1.0	0.0	0.0
473	1.0	0.0	0.0
n77	0.9999999999995965	8.283953406231535e-14	3.2061326271588636e-13
n3232	0.9999999999884533	3.3249212287180143e-12	8.221764614387882e-12
379	1.0	0.0	0.0
380	1.0	0.0	0.0
n38	0.9999994954555047	1.4528615269087132e-07	3.5925834249297283e-07
n3838	0.9999999914097618	2.473602761608588e-09	6.116635423850221e-09
386	1.0	0.0	0.0
n4747	0.9999998326050085	4.820223889126504e-08	1.1919275256601072e-07
n51	0.00038141951776470907	7.504601134197928e-07	0.9996178300221219
n765765	8.687947579616745e-05	1.2392759912622518e-08	0.9999131081314439
378	1.0	0.0	0.0
376	1.0	0.0	0.0
388	1.0	0.0	0.0
n772	0.9999999998867888	3.272740288030988e-11	8.048367984006311e-11
392	1.0	0.0	0.0
397	1.0	0.0	0.0
505	1.0	0.0	0.0
463	1.0	0.0	0.0
n8	0.9999999998935947	3.7123010405561e-12	1.0269306470368652e-10
n13	0.9999999999119273	2.536096159758786e-11	6.271167746777715e-11
478	1.0	0.0	0.0
n3333	0.9999999975839207	6.957223273687976e-10	1.7203570061026355e-09
413	1.0	0.0	0.0
411	1.0	0.0	0.0
412	1.0	0.0	0.0
n39	0.999999999440062	1.612369781774227e-10	3.987009667180493e-10
n48	0.9999996928609788	8.844224278838919e-08	2.1869677847504472e-07
381	1.0	0.0	0.0
n5151	0.0004315255803402842	7.703479088360576e-07	0.9995677040717509
n5353	4.9107619627694805e-05	1.870673894040777e-05	0.9999321856414319
n766	2.7928087313360997e-09	1.5637937548218926e-11	0.9999999971915534
